# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
# DownloadTime: Sun May  3 19:22:07 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 162
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Ground Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 162
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Ground Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 0
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 0
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter162/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714306000, 2223930.0]]
# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
2014-05-02T06:00:24+05:30,3014850.25
2014-05-02T06:00:54+05:30,3014854.25
2014-05-02T06:01:24+05:30,3014858.25
2014-05-02T06:01:54+05:30,3014862.25
2014-05-02T06:02:24+05:30,3014866.25
2014-05-02T06:02:54+05:30,3014870.25
2014-05-02T06:03:24+05:30,3014874.25
2014-05-02T06:03:54+05:30,3014878.25
2014-05-02T06:04:25+05:30,3014882.25
2014-05-02T06:04:55+05:30,3014886.25
2014-05-02T06:05:25+05:30,3014890.0
2014-05-02T06:05:55+05:30,3014894.0
2014-05-02T06:06:25+05:30,3014898.0
2014-05-02T06:06:55+05:30,3014902.0
2014-05-02T06:07:25+05:30,3014906.0
2014-05-02T06:07:55+05:30,3014910.0
2014-05-02T06:08:25+05:30,3014914.0
2014-05-02T06:08:55+05:30,3014918.0
2014-05-02T06:09:25+05:30,3014922.0
2014-05-02T06:09:55+05:30,3014925.75
2014-05-02T06:10:25+05:30,3014929.75
2014-05-02T06:10:55+05:30,3014933.75
2014-05-02T06:11:25+05:30,3014938.0
2014-05-02T06:11:55+05:30,3014941.75
2014-05-02T06:12:25+05:30,3014945.75
2014-05-02T06:12:55+05:30,3014949.75
2014-05-02T06:13:25+05:30,3014953.5
2014-05-02T06:13:55+05:30,3014957.0
2014-05-02T06:14:26+05:30,3014960.5
2014-05-02T06:14:56+05:30,3014964.0
2014-05-02T06:15:26+05:30,3014967.5
2014-05-02T06:15:56+05:30,3014971.0
2014-05-02T06:16:26+05:30,3014974.5
2014-05-02T06:16:56+05:30,3014978.0
2014-05-02T06:17:26+05:30,3014981.5
2014-05-02T06:17:56+05:30,3014985.0
2014-05-02T06:18:26+05:30,3014988.5
2014-05-02T06:18:56+05:30,3014992.0
2014-05-02T06:19:26+05:30,3014995.5
2014-05-02T06:19:56+05:30,3014999.0
2014-05-02T06:20:26+05:30,3015002.5
2014-05-02T06:20:56+05:30,3015006.0
2014-05-02T06:21:26+05:30,3015009.5
2014-05-02T06:21:56+05:30,3015012.75
2014-05-02T06:22:26+05:30,3015016.5
2014-05-02T06:22:56+05:30,3015020.0
2014-05-02T06:23:26+05:30,3015023.5
2014-05-02T06:23:56+05:30,3015027.0
2014-05-02T06:24:26+05:30,3015030.5
2014-05-02T06:24:57+05:30,3015034.0
2014-05-02T06:25:27+05:30,3015037.5
2014-05-02T06:25:57+05:30,3015041.0
2014-05-02T06:26:27+05:30,3015044.5
2014-05-02T06:26:57+05:30,3015048.0
2014-05-02T06:27:27+05:30,3015051.5
2014-05-02T06:27:57+05:30,3015054.75
2014-05-02T06:28:27+05:30,3015058.25
2014-05-02T06:28:57+05:30,3015061.75
2014-05-02T06:29:27+05:30,3015065.25
2014-05-02T06:29:57+05:30,3015068.75
2014-05-02T06:30:27+05:30,3015072.25
2014-05-02T06:30:57+05:30,3015075.75
2014-05-02T06:31:27+05:30,3015079.25
2014-05-02T06:31:57+05:30,3015082.5
2014-05-02T06:32:27+05:30,3015086.0
2014-05-02T06:32:57+05:30,3015089.75
2014-05-02T06:33:27+05:30,3015093.25
2014-05-02T06:33:57+05:30,3015096.5
2014-05-02T06:34:28+05:30,3015100.0
2014-05-02T06:34:58+05:30,3015103.5
2014-05-02T06:35:28+05:30,3015107.0
2014-05-02T06:35:58+05:30,3015110.5
2014-05-02T06:36:28+05:30,3015114.0
2014-05-02T06:36:58+05:30,3015117.5
2014-05-02T06:37:28+05:30,3015120.75
2014-05-02T06:37:58+05:30,3015124.25
2014-05-02T06:38:28+05:30,3015127.75
2014-05-02T06:38:58+05:30,3015131.25
2014-05-02T06:39:28+05:30,3015134.75
2014-05-02T06:39:58+05:30,3015138.25
2014-05-02T06:40:28+05:30,3015141.75
2014-05-02T06:40:58+05:30,3015145.25
2014-05-02T06:41:28+05:30,3015148.75
2014-05-02T06:41:58+05:30,3015152.25
2014-05-02T06:42:28+05:30,3015155.75
2014-05-02T06:42:58+05:30,3015159.0
2014-05-02T06:43:28+05:30,3015162.5
2014-05-02T06:43:58+05:30,3015166.0
2014-05-02T06:44:29+05:30,3015169.25
2014-05-02T06:44:59+05:30,3015172.75
2014-05-02T06:45:29+05:30,3015176.25
2014-05-02T06:45:59+05:30,3015179.75
2014-05-02T06:46:29+05:30,3015183.0
2014-05-02T06:46:59+05:30,3015186.5
2014-05-02T06:47:29+05:30,3015190.0
