# uuid: b7c99e66-e3be-596a-baf9-47b01f9e21f9
# DownloadTime: Sun May  3 19:13:11 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 164
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 164
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter164/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714308000, 2597542.75]]
# uuid: b7c99e66-e3be-596a-baf9-47b01f9e21f9
2014-05-02T06:00:26+05:30,3259955.25
2014-05-02T06:00:56+05:30,3259961.25
2014-05-02T06:01:26+05:30,3259967.5
2014-05-02T06:01:56+05:30,3259973.75
2014-05-02T06:02:26+05:30,3259980.0
2014-05-02T06:02:56+05:30,3259986.25
2014-05-02T06:03:26+05:30,3259992.5
2014-05-02T06:03:56+05:30,3259998.75
2014-05-02T06:04:27+05:30,3260005.0
2014-05-02T06:04:57+05:30,3260011.25
2014-05-02T06:05:27+05:30,3260017.5
2014-05-02T06:05:57+05:30,3260023.5
2014-05-02T06:06:27+05:30,3260029.75
2014-05-02T06:06:57+05:30,3260036.0
2014-05-02T06:07:27+05:30,3260042.25
2014-05-02T06:07:57+05:30,3260048.5
2014-05-02T06:08:27+05:30,3260054.75
2014-05-02T06:08:57+05:30,3260061.5
2014-05-02T06:09:27+05:30,3260068.0
2014-05-02T06:09:57+05:30,3260075.0
2014-05-02T06:10:27+05:30,3260081.5
2014-05-02T06:10:57+05:30,3260088.0
2014-05-02T06:11:27+05:30,3260094.75
2014-05-02T06:11:57+05:30,3260101.25
2014-05-02T06:12:27+05:30,3260107.75
2014-05-02T06:12:57+05:30,3260114.5
2014-05-02T06:13:27+05:30,3260121.0
2014-05-02T06:13:57+05:30,3260127.75
2014-05-02T06:14:28+05:30,3260134.5
2014-05-02T06:14:58+05:30,3260141.0
2014-05-02T06:15:28+05:30,3260147.75
2014-05-02T06:15:58+05:30,3260154.25
2014-05-02T06:16:28+05:30,3260161.0
2014-05-02T06:16:58+05:30,3260167.75
2014-05-02T06:17:28+05:30,3260174.25
2014-05-02T06:17:58+05:30,3260181.0
2014-05-02T06:18:28+05:30,3260187.5
2014-05-02T06:18:58+05:30,3260194.25
2014-05-02T06:19:28+05:30,3260201.0
2014-05-02T06:19:58+05:30,3260207.75
2014-05-02T06:20:28+05:30,3260214.5
2014-05-02T06:20:58+05:30,3260221.25
2014-05-02T06:21:28+05:30,3260228.0
2014-05-02T06:21:58+05:30,3260234.75
2014-05-02T06:22:28+05:30,3260241.5
2014-05-02T06:22:58+05:30,3260248.0
2014-05-02T06:23:28+05:30,3260254.75
2014-05-02T06:23:58+05:30,3260261.25
2014-05-02T06:24:28+05:30,3260268.0
