# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
# DownloadTime: Sun May  3 19:22:35 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 166
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 166
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter166/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714310000, 2178998.75]]
# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
2014-05-02T06:00:28+05:30,2871413.75
2014-05-02T06:00:58+05:30,2871419.0
2014-05-02T06:01:28+05:30,2871424.5
2014-05-02T06:01:58+05:30,2871430.0
2014-05-02T06:02:28+05:30,2871435.5
2014-05-02T06:02:58+05:30,2871441.0
2014-05-02T06:03:28+05:30,2871446.25
2014-05-02T06:03:58+05:30,2871451.75
2014-05-02T06:04:29+05:30,2871457.25
2014-05-02T06:04:59+05:30,2871462.5
2014-05-02T06:05:29+05:30,2871467.5
2014-05-02T06:05:59+05:30,2871472.75
2014-05-02T06:06:29+05:30,2871478.0
2014-05-02T06:06:59+05:30,2871483.0
2014-05-02T06:07:29+05:30,2871488.25
2014-05-02T06:07:59+05:30,2871493.25
2014-05-02T06:08:29+05:30,2871498.5
2014-05-02T06:08:59+05:30,2871503.75
2014-05-02T06:09:29+05:30,2871508.75
2014-05-02T06:09:59+05:30,2871514.0
2014-05-02T06:10:29+05:30,2871519.0
2014-05-02T06:10:59+05:30,2871524.25
2014-05-02T06:11:29+05:30,2871529.5
2014-05-02T06:11:59+05:30,2871534.75
2014-05-02T06:12:29+05:30,2871540.0
2014-05-02T06:12:59+05:30,2871545.0
2014-05-02T06:13:29+05:30,2871550.25
2014-05-02T06:13:59+05:30,2871555.25
2014-05-02T06:14:30+05:30,2871560.25
2014-05-02T06:15:00+05:30,2871565.0
2014-05-02T06:15:30+05:30,2871570.0
2014-05-02T06:16:00+05:30,2871574.75
2014-05-02T06:16:30+05:30,2871579.75
2014-05-02T06:17:00+05:30,2871584.5
2014-05-02T06:17:30+05:30,2871589.5
2014-05-02T06:18:00+05:30,2871594.25
2014-05-02T06:18:30+05:30,2871599.25
2014-05-02T06:19:00+05:30,2871604.25
2014-05-02T06:19:30+05:30,2871609.0
2014-05-02T06:20:00+05:30,2871614.0
2014-05-02T06:20:30+05:30,2871618.75
2014-05-02T06:21:00+05:30,2871623.75
2014-05-02T06:21:30+05:30,2871628.5
2014-05-02T06:22:00+05:30,2871633.5
2014-05-02T06:22:30+05:30,2871638.5
2014-05-02T06:23:00+05:30,2871643.25
2014-05-02T06:23:30+05:30,2871648.25
2014-05-02T06:24:00+05:30,2871653.0
2014-05-02T06:24:30+05:30,2871658.0
2014-05-02T06:25:01+05:30,2871662.75
2014-05-02T06:25:31+05:30,2871667.75
2014-05-02T06:26:01+05:30,2871672.5
2014-05-02T06:26:31+05:30,2871677.5
2014-05-02T06:27:01+05:30,2871682.25
2014-05-02T06:27:31+05:30,2871687.0
2014-05-02T06:28:01+05:30,2871692.0
2014-05-02T06:28:31+05:30,2871696.75
2014-05-02T06:29:01+05:30,2871701.75
2014-05-02T06:29:31+05:30,2871706.5
2014-05-02T06:30:01+05:30,2871711.25
2014-05-02T06:30:31+05:30,2871716.25
2014-05-02T06:31:01+05:30,2871721.0
2014-05-02T06:31:31+05:30,2871725.75
2014-05-02T06:32:01+05:30,2871730.75
2014-05-02T06:32:31+05:30,2871735.75
2014-05-02T06:33:01+05:30,2871740.5
2014-05-02T06:33:31+05:30,2871745.25
2014-05-02T06:34:01+05:30,2871750.25
2014-05-02T06:34:32+05:30,2871755.0
2014-05-02T06:35:02+05:30,2871759.75
2014-05-02T06:35:32+05:30,2871764.75
2014-05-02T06:36:02+05:30,2871769.5
2014-05-02T06:36:32+05:30,2871774.25
2014-05-02T06:37:02+05:30,2871779.25
2014-05-02T06:37:32+05:30,2871784.0
2014-05-02T06:38:02+05:30,2871788.75
2014-05-02T06:38:32+05:30,2871793.75
2014-05-02T06:39:02+05:30,2871798.5
2014-05-02T06:39:32+05:30,2871803.25
2014-05-02T06:40:02+05:30,2871808.25
2014-05-02T06:40:32+05:30,2871813.0
2014-05-02T06:41:02+05:30,2871818.0
2014-05-02T06:41:32+05:30,2871823.0
2014-05-02T06:42:02+05:30,2871827.75
2014-05-02T06:42:32+05:30,2871832.75
2014-05-02T06:43:02+05:30,2871837.75
2014-05-02T06:43:32+05:30,2871843.0
2014-05-02T06:44:02+05:30,2871848.0
2014-05-02T06:44:33+05:30,2871853.25
2014-05-02T06:45:03+05:30,2871858.5
2014-05-02T06:45:33+05:30,2871863.5
2014-05-02T06:46:03+05:30,2871868.5
2014-05-02T06:46:33+05:30,2871873.5
2014-05-02T06:47:03+05:30,2871878.25
2014-05-02T06:47:33+05:30,2871883.25
2014-05-02T06:48:03+05:30,2871888.0
2014-05-02T06:48:33+05:30,2871893.0
2014-05-02T06:49:03+05:30,2871897.75
2014-05-02T06:49:33+05:30,2871902.75
2014-05-02T06:50:03+05:30,2871907.5
2014-05-02T06:50:33+05:30,2871912.5
2014-05-02T06:51:03+05:30,2871917.5
2014-05-02T06:51:33+05:30,2871922.25
2014-05-02T06:52:03+05:30,2871927.25
2014-05-02T06:52:33+05:30,2871932.0
2014-05-02T06:53:03+05:30,2871937.25
2014-05-02T06:53:33+05:30,2871942.0
2014-05-02T06:54:03+05:30,2871947.0
2014-05-02T06:54:33+05:30,2871951.75
2014-05-02T06:55:03+05:30,2871956.75
