# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
# DownloadTime: Sun May  3 19:23:15 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 170
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Fourth Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 170
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Fourth Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 4
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 4
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter170/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714314000, 2306992.0]]
# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
2014-05-02T06:00:02+05:30,3138147.0
2014-05-02T06:00:32+05:30,3138152.0
2014-05-02T06:01:02+05:30,3138156.75
2014-05-02T06:01:32+05:30,3138161.75
2014-05-02T06:02:02+05:30,3138166.75
2014-05-02T06:02:32+05:30,3138171.75
2014-05-02T06:03:02+05:30,3138176.5
2014-05-02T06:03:32+05:30,3138181.5
2014-05-02T06:04:02+05:30,3138186.5
2014-05-02T06:04:33+05:30,3138191.5
2014-05-02T06:05:03+05:30,3138196.5
2014-05-02T06:05:33+05:30,3138201.75
2014-05-02T06:06:03+05:30,3138207.0
2014-05-02T06:06:33+05:30,3138212.0
2014-05-02T06:07:03+05:30,3138217.25
2014-05-02T06:07:33+05:30,3138222.25
2014-05-02T06:08:03+05:30,3138227.5
2014-05-02T06:08:33+05:30,3138232.75
2014-05-02T06:09:03+05:30,3138237.75
2014-05-02T06:09:33+05:30,3138243.0
2014-05-02T06:10:03+05:30,3138248.0
2014-05-02T06:10:33+05:30,3138253.25
2014-05-02T06:11:03+05:30,3138258.5
2014-05-02T06:11:33+05:30,3138263.5
2014-05-02T06:12:03+05:30,3138268.75
2014-05-02T06:12:33+05:30,3138273.75
2014-05-02T06:13:03+05:30,3138279.0
2014-05-02T06:13:33+05:30,3138284.25
2014-05-02T06:14:03+05:30,3138289.25
2014-05-02T06:14:34+05:30,3138294.25
2014-05-02T06:15:04+05:30,3138299.0
2014-05-02T06:15:34+05:30,3138303.75
2014-05-02T06:16:04+05:30,3138308.25
2014-05-02T06:16:34+05:30,3138313.0
2014-05-02T06:17:04+05:30,3138317.5
2014-05-02T06:17:34+05:30,3138322.25
2014-05-02T06:18:04+05:30,3138326.75
2014-05-02T06:18:34+05:30,3138331.5
2014-05-02T06:19:04+05:30,3138336.0
2014-05-02T06:19:34+05:30,3138340.75
2014-05-02T06:20:04+05:30,3138345.25
2014-05-02T06:20:34+05:30,3138350.0
2014-05-02T06:21:04+05:30,3138354.75
2014-05-02T06:21:34+05:30,3138359.25
2014-05-02T06:22:04+05:30,3138364.0
2014-05-02T06:22:34+05:30,3138368.5
2014-05-02T06:23:04+05:30,3138373.25
2014-05-02T06:23:34+05:30,3138378.0
2014-05-02T06:24:04+05:30,3138382.5
