# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
# DownloadTime: Sun May  3 19:25:14 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 174
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 174
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter174/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714315000, 3772775.5]]
# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
2014-05-02T06:00:17+05:30,5194586.0
2014-05-02T06:00:48+05:30,5194594.0
2014-05-02T06:01:20+05:30,5194602.0
2014-05-02T06:01:52+05:30,5194610.0
2014-05-02T06:02:24+05:30,5194617.5
2014-05-02T06:02:56+05:30,5194625.5
2014-05-02T06:03:27+05:30,5194633.5
2014-05-02T06:03:59+05:30,5194641.5
2014-05-02T06:04:31+05:30,5194649.5
2014-05-02T06:05:03+05:30,5194657.5
2014-05-02T06:05:35+05:30,5194665.5
2014-05-02T06:06:07+05:30,5194673.5
2014-05-02T06:06:39+05:30,5194681.0
2014-05-02T06:07:10+05:30,5194689.0
2014-05-02T06:07:42+05:30,5194697.0
2014-05-02T06:08:14+05:30,5194705.0
2014-05-02T06:08:46+05:30,5194713.0
2014-05-02T06:09:18+05:30,5194721.0
2014-05-02T06:09:49+05:30,5194728.5
2014-05-02T06:10:21+05:30,5194736.5
2014-05-02T06:10:53+05:30,5194744.5
2014-05-02T06:11:25+05:30,5194752.5
2014-05-02T06:11:57+05:30,5194760.0
2014-05-02T06:12:28+05:30,5194768.0
2014-05-02T06:13:00+05:30,5194776.0
2014-05-02T06:13:32+05:30,5194784.0
2014-05-02T06:14:04+05:30,5194792.0
2014-05-02T06:14:36+05:30,5194799.5
2014-05-02T06:15:07+05:30,5194807.5
2014-05-02T06:15:39+05:30,5194815.5
2014-05-02T06:16:11+05:30,5194823.5
2014-05-02T06:16:43+05:30,5194831.0
2014-05-02T06:17:15+05:30,5194838.0
2014-05-02T06:17:46+05:30,5194845.5
2014-05-02T06:18:18+05:30,5194853.0
2014-05-02T06:18:50+05:30,5194860.5
2014-05-02T06:19:22+05:30,5194867.5
2014-05-02T06:19:54+05:30,5194875.0
2014-05-02T06:20:26+05:30,5194882.5
2014-05-02T06:20:57+05:30,5194890.0
2014-05-02T06:21:29+05:30,5194897.5
2014-05-02T06:22:01+05:30,5194905.5
2014-05-02T06:22:33+05:30,5194913.0
2014-05-02T06:23:05+05:30,5194920.5
2014-05-02T06:23:37+05:30,5194928.0
2014-05-02T06:24:09+05:30,5194935.0
2014-05-02T06:24:41+05:30,5194942.0
2014-05-02T06:25:14+05:30,5194950.0
2014-05-02T06:25:46+05:30,5194957.0
2014-05-02T06:26:18+05:30,5194964.5
2014-05-02T06:26:50+05:30,5194971.5
2014-05-02T06:27:22+05:30,5194979.0
2014-05-02T06:27:54+05:30,5194986.0
2014-05-02T06:28:26+05:30,5194993.5
2014-05-02T06:28:58+05:30,5195000.5
2014-05-02T06:29:30+05:30,5195007.5
2014-05-02T06:30:02+05:30,5195015.0
2014-05-02T06:30:33+05:30,5195022.0
2014-05-02T06:31:05+05:30,5195029.0
2014-05-02T06:31:37+05:30,5195036.5
2014-05-02T06:32:09+05:30,5195043.5
2014-05-02T06:32:41+05:30,5195050.5
2014-05-02T06:33:12+05:30,5195057.5
2014-05-02T06:33:44+05:30,5195065.0
2014-05-02T06:34:17+05:30,5195072.5
2014-05-02T06:34:49+05:30,5195079.5
2014-05-02T06:35:22+05:30,5195087.0
2014-05-02T06:35:54+05:30,5195094.0
2014-05-02T06:36:27+05:30,5195101.0
2014-05-02T06:36:59+05:30,5195108.5
2014-05-02T06:37:31+05:30,5195115.5
2014-05-02T06:38:03+05:30,5195123.0
2014-05-02T06:38:35+05:30,5195130.0
2014-05-02T06:39:07+05:30,5195137.0
2014-05-02T06:39:39+05:30,5195144.5
2014-05-02T06:40:11+05:30,5195151.5
2014-05-02T06:40:43+05:30,5195159.0
2014-05-02T06:41:15+05:30,5195166.0
2014-05-02T06:41:47+05:30,5195173.0
2014-05-02T06:42:19+05:30,5195180.5
2014-05-02T06:42:51+05:30,5195187.5
2014-05-02T06:43:22+05:30,5195195.0
2014-05-02T06:43:54+05:30,5195202.0
2014-05-02T06:44:26+05:30,5195209.5
2014-05-02T06:44:58+05:30,5195216.5
2014-05-02T06:45:30+05:30,5195224.0
2014-05-02T06:46:02+05:30,5195231.0
2014-05-02T06:46:35+05:30,5195238.5
2014-05-02T06:47:06+05:30,5195245.5
2014-05-02T06:47:39+05:30,5195253.0
2014-05-02T06:48:11+05:30,5195260.0
2014-05-02T06:48:42+05:30,5195267.5
2014-05-02T06:49:14+05:30,5195275.0
2014-05-02T06:49:46+05:30,5195282.0
2014-05-02T06:50:18+05:30,5195289.5
2014-05-02T06:50:50+05:30,5195296.5
2014-05-02T06:51:22+05:30,5195304.0
2014-05-02T06:51:54+05:30,5195311.0
2014-05-02T06:52:26+05:30,5195318.5
2014-05-02T06:52:58+05:30,5195325.5
2014-05-02T06:53:30+05:30,5195333.0
2014-05-02T06:54:02+05:30,5195340.0
2014-05-02T06:54:34+05:30,5195347.5
2014-05-02T06:55:06+05:30,5195354.5
2014-05-02T06:55:37+05:30,5195362.0
2014-05-02T06:56:09+05:30,5195369.0
2014-05-02T06:56:42+05:30,5195376.5
2014-05-02T06:57:14+05:30,5195383.5
2014-05-02T06:57:46+05:30,5195391.0
2014-05-02T06:58:17+05:30,5195398.5
2014-05-02T06:58:50+05:30,5195405.5
2014-05-02T06:59:22+05:30,5195413.0
2014-05-02T06:59:54+05:30,5195420.5
2014-05-02T07:00:26+05:30,5195427.5
2014-05-02T07:00:58+05:30,5195435.0
2014-05-02T07:01:30+05:30,5195442.0
2014-05-02T07:02:01+05:30,5195449.5
2014-05-02T07:02:33+05:30,5195457.0
2014-05-02T07:03:05+05:30,5195464.0
2014-05-02T07:03:37+05:30,5195471.0
2014-05-02T07:04:09+05:30,5195478.5
