# uuid: 376413c8-0dd0-5191-a291-091636b45a01
# DownloadTime: Sun May  3 19:27:11 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 176
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 176
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter176/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714317000, 4429657.0]]
# uuid: 376413c8-0dd0-5191-a291-091636b45a01
2014-05-02T06:00:19+05:30,6027102.0
2014-05-02T06:00:50+05:30,6027114.0
2014-05-02T06:01:22+05:30,6027127.0
2014-05-02T06:01:54+05:30,6027139.5
2014-05-02T06:02:26+05:30,6027152.0
2014-05-02T06:02:58+05:30,6027164.0
2014-05-02T06:03:30+05:30,6027176.5
2014-05-02T06:04:01+05:30,6027189.0
2014-05-02T06:04:33+05:30,6027201.5
2014-05-02T06:05:05+05:30,6027214.0
2014-05-02T06:05:37+05:30,6027226.5
2014-05-02T06:06:09+05:30,6027239.0
2014-05-02T06:06:41+05:30,6027251.5
2014-05-02T06:07:12+05:30,6027264.0
2014-05-02T06:07:44+05:30,6027275.5
2014-05-02T06:08:16+05:30,6027288.0
2014-05-02T06:08:48+05:30,6027299.5
2014-05-02T06:09:20+05:30,6027311.5
2014-05-02T06:09:51+05:30,6027323.5
2014-05-02T06:10:23+05:30,6027335.0
2014-05-02T06:10:55+05:30,6027347.0
2014-05-02T06:11:27+05:30,6027358.5
2014-05-02T06:11:59+05:30,6027370.5
2014-05-02T06:12:30+05:30,6027382.5
2014-05-02T06:13:02+05:30,6027394.0
2014-05-02T06:13:34+05:30,6027406.0
2014-05-02T06:14:06+05:30,6027417.5
2014-05-02T06:14:38+05:30,6027429.0
2014-05-02T06:15:10+05:30,6027440.5
2014-05-02T06:15:41+05:30,6027452.0
2014-05-02T06:16:13+05:30,6027463.5
2014-05-02T06:16:45+05:30,6027475.0
2014-05-02T06:17:17+05:30,6027486.5
2014-05-02T06:17:48+05:30,6027498.5
2014-05-02T06:18:20+05:30,6027510.0
2014-05-02T06:18:52+05:30,6027521.0
2014-05-02T06:19:24+05:30,6027532.5
2014-05-02T06:19:56+05:30,6027544.5
2014-05-02T06:20:28+05:30,6027556.0
2014-05-02T06:21:00+05:30,6027567.0
2014-05-02T06:21:31+05:30,6027577.5
2014-05-02T06:22:03+05:30,6027588.0
2014-05-02T06:22:35+05:30,6027598.5
2014-05-02T06:23:07+05:30,6027609.5
2014-05-02T06:23:39+05:30,6027620.0
2014-05-02T06:24:11+05:30,6027630.5
2014-05-02T06:24:43+05:30,6027641.5
2014-05-02T06:25:16+05:30,6027652.5
2014-05-02T06:25:48+05:30,6027663.0
2014-05-02T06:26:20+05:30,6027673.5
2014-05-02T06:26:52+05:30,6027684.0
2014-05-02T06:27:24+05:30,6027695.0
2014-05-02T06:27:56+05:30,6027705.5
2014-05-02T06:28:28+05:30,6027716.0
2014-05-02T06:29:00+05:30,6027726.5
2014-05-02T06:29:32+05:30,6027737.0
2014-05-02T06:30:04+05:30,6027748.0
2014-05-02T06:30:35+05:30,6027758.5
2014-05-02T06:31:07+05:30,6027768.5
2014-05-02T06:31:39+05:30,6027779.5
2014-05-02T06:32:11+05:30,6027790.0
2014-05-02T06:32:43+05:30,6027800.5
2014-05-02T06:33:15+05:30,6027811.0
2014-05-02T06:33:46+05:30,6027821.5
2014-05-02T06:34:19+05:30,6027832.5
2014-05-02T06:34:51+05:30,6027843.0
2014-05-02T06:35:24+05:30,6027854.0
2014-05-02T06:35:56+05:30,6027864.5
2014-05-02T06:36:29+05:30,6027875.5
2014-05-02T06:37:01+05:30,6027886.0
2014-05-02T06:37:33+05:30,6027896.5
2014-05-02T06:38:05+05:30,6027907.0
2014-05-02T06:38:37+05:30,6027918.0
2014-05-02T06:39:09+05:30,6027928.5
2014-05-02T06:39:41+05:30,6027939.0
2014-05-02T06:40:13+05:30,6027949.5
2014-05-02T06:40:45+05:30,6027960.5
2014-05-02T06:41:17+05:30,6027971.0
2014-05-02T06:41:49+05:30,6027981.5
