# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
# DownloadTime: Sun May  3 19:27:33 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 178
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 178
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter178/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714319000, 2557707.0]]
# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
2014-05-02T06:00:21+05:30,3658425.5
2014-05-02T06:00:52+05:30,3658436.25
2014-05-02T06:01:24+05:30,3658446.5
2014-05-02T06:01:56+05:30,3658457.0
2014-05-02T06:02:28+05:30,3658467.75
2014-05-02T06:03:00+05:30,3658478.5
2014-05-02T06:03:32+05:30,3658489.5
2014-05-02T06:04:04+05:30,3658500.5
2014-05-02T06:04:35+05:30,3658511.5
2014-05-02T06:05:07+05:30,3658522.5
2014-05-02T06:05:39+05:30,3658533.25
2014-05-02T06:06:11+05:30,3658544.0
2014-05-02T06:06:43+05:30,3658554.5
2014-05-02T06:07:15+05:30,3658565.25
2014-05-02T06:07:47+05:30,3658575.75
2014-05-02T06:08:19+05:30,3658586.25
2014-05-02T06:08:50+05:30,3658596.5
2014-05-02T06:09:22+05:30,3658607.25
2014-05-02T06:09:54+05:30,3658617.75
2014-05-02T06:10:25+05:30,3658628.25
2014-05-02T06:10:57+05:30,3658638.75
2014-05-02T06:11:29+05:30,3658649.25
2014-05-02T06:12:01+05:30,3658660.25
2014-05-02T06:12:33+05:30,3658671.25
2014-05-02T06:13:04+05:30,3658682.25
2014-05-02T06:13:36+05:30,3658693.25
2014-05-02T06:14:08+05:30,3658704.75
2014-05-02T06:14:40+05:30,3658715.25
2014-05-02T06:15:12+05:30,3658726.25
2014-05-02T06:15:43+05:30,3658737.0
2014-05-02T06:16:15+05:30,3658747.75
2014-05-02T06:16:47+05:30,3658758.75
2014-05-02T06:17:19+05:30,3658769.75
2014-05-02T06:17:51+05:30,3658780.75
2014-05-02T06:18:23+05:30,3658791.5
2014-05-02T06:18:54+05:30,3658802.5
2014-05-02T06:19:26+05:30,3658813.25
2014-05-02T06:19:58+05:30,3658824.5
2014-05-02T06:20:30+05:30,3658835.75
2014-05-02T06:21:02+05:30,3658847.0
2014-05-02T06:21:34+05:30,3658858.25
2014-05-02T06:22:05+05:30,3658869.25
2014-05-02T06:22:37+05:30,3658879.75
2014-05-02T06:23:09+05:30,3658890.0
2014-05-02T06:23:41+05:30,3658900.5
2014-05-02T06:24:13+05:30,3658910.5
2014-05-02T06:24:45+05:30,3658920.75
2014-05-02T06:25:18+05:30,3658931.75
2014-05-02T06:25:51+05:30,3658942.25
