# uuid: 6f96f660-5745-5467-b9b2-2a9ce4ce6b34
# DownloadTime: Sun May  3 19:35:59 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 180
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Fourth Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 180
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Fourth Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 4
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 4
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter180/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714321000, 1530052.875]]
# uuid: 6f96f660-5745-5467-b9b2-2a9ce4ce6b34
2014-05-02T06:00:23+05:30,2093572.25
2014-05-02T06:00:55+05:30,2093577.125
2014-05-02T06:01:26+05:30,2093582.0
2014-05-02T06:01:58+05:30,2093586.875
2014-05-02T06:02:30+05:30,2093591.625
2014-05-02T06:03:02+05:30,2093596.375
2014-05-02T06:03:34+05:30,2093601.125
2014-05-02T06:04:06+05:30,2093606.0
2014-05-02T06:04:38+05:30,2093610.875
2014-05-02T06:05:09+05:30,2093615.625
2014-05-02T06:05:41+05:30,2093620.5
2014-05-02T06:06:13+05:30,2093625.25
2014-05-02T06:06:45+05:30,2093630.125
2014-05-02T06:07:17+05:30,2093635.0
2014-05-02T06:07:49+05:30,2093639.875
2014-05-02T06:08:21+05:30,2093644.625
2014-05-02T06:08:52+05:30,2093649.5
2014-05-02T06:09:24+05:30,2093654.125
2014-05-02T06:09:56+05:30,2093659.0
2014-05-02T06:10:27+05:30,2093663.75
2014-05-02T06:10:59+05:30,2093668.5
2014-05-02T06:11:31+05:30,2093673.25
2014-05-02T06:12:03+05:30,2093677.875
2014-05-02T06:12:35+05:30,2093682.75
2014-05-02T06:13:06+05:30,2093687.5
2014-05-02T06:13:39+05:30,2093692.25
2014-05-02T06:14:10+05:30,2093697.0
2014-05-02T06:14:42+05:30,2093701.625
2014-05-02T06:15:14+05:30,2093706.375
2014-05-02T06:15:45+05:30,2093711.25
2014-05-02T06:16:17+05:30,2093716.0
2014-05-02T06:16:49+05:30,2093720.75
2014-05-02T06:17:21+05:30,2093725.375
2014-05-02T06:17:53+05:30,2093730.25
2014-05-02T06:18:25+05:30,2093735.0
2014-05-02T06:18:56+05:30,2093739.75
2014-05-02T06:19:28+05:30,2093744.5
2014-05-02T06:20:00+05:30,2093749.0
2014-05-02T06:20:32+05:30,2093753.75
2014-05-02T06:21:04+05:30,2093758.5
2014-05-02T06:21:36+05:30,2093763.25
2014-05-02T06:22:07+05:30,2093768.125
2014-05-02T06:22:40+05:30,2093772.875
2014-05-02T06:23:11+05:30,2093777.625
2014-05-02T06:23:43+05:30,2093782.375
2014-05-02T06:24:15+05:30,2093787.125
2014-05-02T06:24:47+05:30,2093791.75
2014-05-02T06:25:20+05:30,2093796.875
2014-05-02T06:25:53+05:30,2093801.625
2014-05-02T06:26:25+05:30,2093806.375
