# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
# DownloadTime: Sun May  3 19:54:48 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 162
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Ground Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 162
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Ground Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 0
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 0
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter162/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714306000, 2223930.0]]
# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
2015-05-01T00:00:30+05:30,2406540.5
2015-05-01T00:01:00+05:30,2406547.25
2015-05-01T00:01:30+05:30,2406554.0
2015-05-01T00:02:00+05:30,2406560.5
2015-05-01T00:02:30+05:30,2406567.25
2015-05-01T00:03:00+05:30,2406574.0
2015-05-01T00:03:31+05:30,2406580.75
2015-05-01T00:04:01+05:30,2406587.5
2015-05-01T00:04:31+05:30,2406594.25
2015-05-01T00:05:01+05:30,2406600.75
2015-05-01T00:05:31+05:30,2406607.75
2015-05-01T00:06:01+05:30,2406614.5
2015-05-01T00:06:31+05:30,2406621.25
2015-05-01T00:07:01+05:30,2406628.0
2015-05-01T00:07:31+05:30,2406634.5
2015-05-01T00:08:01+05:30,2406641.25
2015-05-01T00:08:31+05:30,2406648.0
2015-05-01T00:09:01+05:30,2406654.75
2015-05-01T00:09:31+05:30,2406661.25
2015-05-01T00:10:01+05:30,2406668.0
2015-05-01T00:10:31+05:30,2406674.75
2015-05-01T00:11:01+05:30,2406681.5
2015-05-01T00:11:31+05:30,2406688.25
2015-05-01T00:12:01+05:30,2406694.75
2015-05-01T00:12:31+05:30,2406701.5
2015-05-01T00:13:01+05:30,2406708.25
2015-05-01T00:13:32+05:30,2406715.0
2015-05-01T00:14:02+05:30,2406721.5
2015-05-01T00:14:32+05:30,2406728.5
2015-05-01T00:15:02+05:30,2406735.25
2015-05-01T00:15:32+05:30,2406742.0
2015-05-01T00:16:02+05:30,2406748.75
2015-05-01T00:16:32+05:30,2406755.5
2015-05-01T00:17:02+05:30,2406762.25
2015-05-01T00:17:32+05:30,2406769.0
2015-05-01T00:18:02+05:30,2406775.5
2015-05-01T00:18:32+05:30,2406782.25
2015-05-01T00:19:02+05:30,2406789.0
2015-05-01T00:19:32+05:30,2406795.75
2015-05-01T00:20:02+05:30,2406802.25
2015-05-01T00:20:32+05:30,2406809.0
2015-05-01T00:21:02+05:30,2406815.75
2015-05-01T00:21:32+05:30,2406822.5
2015-05-01T00:22:02+05:30,2406829.25
2015-05-01T00:22:32+05:30,2406836.0
2015-05-01T00:23:02+05:30,2406842.5
2015-05-01T00:23:32+05:30,2406849.25
2015-05-01T00:24:03+05:30,2406856.0
2015-05-01T00:24:33+05:30,2406862.75
