# uuid: c01563d5-e52e-5fcb-bd01-4fbe247ee2d4
# DownloadTime: Sun May  3 19:54:49 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 168
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 168
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter168/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714312000, 2893352.25]]
# uuid: c01563d5-e52e-5fcb-bd01-4fbe247ee2d4
2015-05-01T00:00:06+05:30,3236127.5
2015-05-01T00:00:36+05:30,3236139.5
2015-05-01T00:01:06+05:30,3236151.25
2015-05-01T00:01:36+05:30,3236163.25
2015-05-01T00:02:06+05:30,3236175.0
2015-05-01T00:02:36+05:30,3236186.75
2015-05-01T00:03:06+05:30,3236198.5
2015-05-01T00:03:37+05:30,3236209.75
2015-05-01T00:04:07+05:30,3236221.25
2015-05-01T00:04:37+05:30,3236232.75
2015-05-01T00:05:07+05:30,3236244.0
2015-05-01T00:05:37+05:30,3236255.5
2015-05-01T00:06:07+05:30,3236267.25
2015-05-01T00:06:37+05:30,3236278.5
2015-05-01T00:07:07+05:30,3236289.75
2015-05-01T00:07:37+05:30,3236301.0
2015-05-01T00:08:07+05:30,3236312.25
2015-05-01T00:08:37+05:30,3236323.5
2015-05-01T00:09:07+05:30,3236334.75
2015-05-01T00:09:37+05:30,3236346.0
2015-05-01T00:10:07+05:30,3236357.25
2015-05-01T00:10:37+05:30,3236368.75
2015-05-01T00:11:07+05:30,3236380.0
2015-05-01T00:11:37+05:30,3236391.25
2015-05-01T00:12:07+05:30,3236402.5
2015-05-01T00:12:37+05:30,3236413.75
2015-05-01T00:13:07+05:30,3236425.25
2015-05-01T00:13:38+05:30,3236436.75
2015-05-01T00:14:08+05:30,3236448.25
2015-05-01T00:14:38+05:30,3236459.75
2015-05-01T00:15:08+05:30,3236471.0
2015-05-01T00:15:38+05:30,3236483.5
2015-05-01T00:16:08+05:30,3236495.5
2015-05-01T00:16:38+05:30,3236507.75
2015-05-01T00:17:08+05:30,3236519.75
2015-05-01T00:17:38+05:30,3236531.5
2015-05-01T00:18:08+05:30,3236543.5
2015-05-01T00:18:38+05:30,3236555.5
2015-05-01T00:19:08+05:30,3236567.5
2015-05-01T00:19:38+05:30,3236579.75
2015-05-01T00:20:08+05:30,3236592.25
2015-05-01T00:20:38+05:30,3236604.5
2015-05-01T00:21:08+05:30,3236617.0
2015-05-01T00:21:38+05:30,3236629.25
2015-05-01T00:22:08+05:30,3236641.5
2015-05-01T00:22:38+05:30,3236654.0
2015-05-01T00:23:08+05:30,3236666.25
2015-05-01T00:23:38+05:30,3236678.75
2015-05-01T00:24:09+05:30,3236691.0
2015-05-01T00:24:39+05:30,3236703.5
2015-05-01T00:25:09+05:30,3236716.0
2015-05-01T00:25:39+05:30,3236728.5
2015-05-01T00:26:09+05:30,3236741.0
2015-05-01T00:26:39+05:30,3236753.25
2015-05-01T00:27:09+05:30,3236766.25
2015-05-01T00:27:39+05:30,3236778.5
2015-05-01T00:28:09+05:30,3236790.75
2015-05-01T00:28:39+05:30,3236803.25
2015-05-01T00:29:09+05:30,3236815.5
2015-05-01T00:29:39+05:30,3236827.75
2015-05-01T00:30:09+05:30,3236840.25
2015-05-01T00:30:39+05:30,3236852.5
2015-05-01T00:31:09+05:30,3236865.0
2015-05-01T00:31:39+05:30,3236877.25
2015-05-01T00:32:09+05:30,3236889.5
2015-05-01T00:32:39+05:30,3236902.0
2015-05-01T00:33:09+05:30,3236914.25
2015-05-01T00:33:39+05:30,3236926.75
2015-05-01T00:34:09+05:30,3236939.0
2015-05-01T00:34:39+05:30,3236951.5
2015-05-01T00:35:09+05:30,3236964.0
2015-05-01T00:35:39+05:30,3236976.25
2015-05-01T00:36:09+05:30,3236988.75
2015-05-01T00:36:40+05:30,3237001.0
2015-05-01T00:37:10+05:30,3237013.5
2015-05-01T00:37:40+05:30,3237026.0
2015-05-01T00:38:10+05:30,3237038.75
2015-05-01T00:38:40+05:30,3237051.0
2015-05-01T00:39:10+05:30,3237063.5
2015-05-01T00:39:40+05:30,3237076.25
2015-05-01T00:40:10+05:30,3237089.0
2015-05-01T00:40:40+05:30,3237101.75
2015-05-01T00:41:10+05:30,3237114.75
2015-05-01T00:41:41+05:30,3237127.5
2015-05-01T00:42:11+05:30,3237140.5
2015-05-01T00:42:41+05:30,3237153.5
2015-05-01T00:43:11+05:30,3237166.25
2015-05-01T00:43:41+05:30,3237179.75
2015-05-01T00:44:11+05:30,3237192.5
2015-05-01T00:44:41+05:30,3237205.5
2015-05-01T00:45:11+05:30,3237218.25
2015-05-01T00:45:41+05:30,3237231.25
2015-05-01T00:46:11+05:30,3237244.0
2015-05-01T00:46:41+05:30,3237257.0
2015-05-01T00:47:11+05:30,3237269.75
2015-05-01T00:47:41+05:30,3237282.75
2015-05-01T00:48:11+05:30,3237295.75
2015-05-01T00:48:41+05:30,3237308.5
2015-05-01T00:49:11+05:30,3237321.5
2015-05-01T00:49:41+05:30,3237334.25
2015-05-01T00:50:11+05:30,3237347.25
2015-05-01T00:50:41+05:30,3237360.5
2015-05-01T00:51:11+05:30,3237374.0
2015-05-01T00:51:41+05:30,3237387.5
2015-05-01T00:52:11+05:30,3237401.25
2015-05-01T00:52:41+05:30,3237414.75
2015-05-01T00:53:11+05:30,3237428.25
2015-05-01T00:53:41+05:30,3237441.5
2015-05-01T00:54:11+05:30,3237455.0
2015-05-01T00:54:41+05:30,3237468.5
2015-05-01T00:55:11+05:30,3237482.0
2015-05-01T00:55:42+05:30,3237495.5
2015-05-01T00:56:12+05:30,3237509.0
2015-05-01T00:56:42+05:30,3237522.75
2015-05-01T00:57:12+05:30,3237536.75
2015-05-01T00:57:42+05:30,3237550.25
2015-05-01T00:58:12+05:30,3237564.0
2015-05-01T00:58:42+05:30,3237577.0
2015-05-01T00:59:12+05:30,3237590.0
2015-05-01T00:59:42+05:30,3237603.0
2015-05-01T01:00:13+05:30,3237616.5
2015-05-01T01:00:43+05:30,3237629.75
2015-05-01T01:01:13+05:30,3237642.75
2015-05-01T01:01:43+05:30,3237656.0
2015-05-01T01:02:13+05:30,3237669.0
2015-05-01T01:02:43+05:30,3237682.25
2015-05-01T01:03:13+05:30,3237695.5
2015-05-01T01:03:43+05:30,3237708.5
2015-05-01T01:04:13+05:30,3237721.75
2015-05-01T01:04:43+05:30,3237734.75
2015-05-01T01:05:13+05:30,3237747.75
2015-05-01T01:05:43+05:30,3237760.75
2015-05-01T01:06:13+05:30,3237774.0
2015-05-01T01:06:43+05:30,3237787.0
2015-05-01T01:07:13+05:30,3237800.0
2015-05-01T01:07:43+05:30,3237813.0
2015-05-01T01:08:13+05:30,3237826.0
2015-05-01T01:08:43+05:30,3237839.0
2015-05-01T01:09:13+05:30,3237852.0
2015-05-01T01:09:43+05:30,3237865.0
2015-05-01T01:10:13+05:30,3237878.0
2015-05-01T01:10:43+05:30,3237891.0
2015-05-01T01:11:13+05:30,3237904.0
2015-05-01T01:11:43+05:30,3237917.5
2015-05-01T01:12:14+05:30,3237930.5
2015-05-01T01:12:44+05:30,3237943.5
2015-05-01T01:13:14+05:30,3237956.75
2015-05-01T01:13:44+05:30,3237969.75
2015-05-01T01:14:14+05:30,3237983.0
2015-05-01T01:14:44+05:30,3237996.0
2015-05-01T01:15:14+05:30,3238009.25
2015-05-01T01:15:44+05:30,3238022.25
2015-05-01T01:16:14+05:30,3238035.25
2015-05-01T01:16:44+05:30,3238048.25
2015-05-01T01:17:14+05:30,3238061.5
2015-05-01T01:17:44+05:30,3238074.5
2015-05-01T01:18:14+05:30,3238087.5
2015-05-01T01:18:44+05:30,3238100.5
2015-05-01T01:19:14+05:30,3238113.75
2015-05-01T01:19:44+05:30,3238126.75
2015-05-01T01:20:14+05:30,3238139.75
2015-05-01T01:20:44+05:30,3238152.75
2015-05-01T01:21:14+05:30,3238166.0
2015-05-01T01:21:44+05:30,3238179.25
2015-05-01T01:22:14+05:30,3238192.25
2015-05-01T01:22:44+05:30,3238205.5
2015-05-01T01:23:14+05:30,3238218.75
2015-05-01T01:23:44+05:30,3238231.75
2015-05-01T01:24:14+05:30,3238245.0
2015-05-01T01:24:44+05:30,3238258.0
2015-05-01T01:25:14+05:30,3238271.75
2015-05-01T01:25:45+05:30,3238284.75
2015-05-01T01:26:15+05:30,3238298.0
2015-05-01T01:26:45+05:30,3238311.0
2015-05-01T01:27:15+05:30,3238324.25
2015-05-01T01:27:45+05:30,3238337.25
2015-05-01T01:28:15+05:30,3238350.5
2015-05-01T01:28:45+05:30,3238363.5
2015-05-01T01:29:15+05:30,3238376.75
2015-05-01T01:29:45+05:30,3238389.5
2015-05-01T01:30:15+05:30,3238402.25
2015-05-01T01:30:45+05:30,3238415.0
2015-05-01T01:31:15+05:30,3238427.75
2015-05-01T01:31:45+05:30,3238440.5
2015-05-01T01:32:15+05:30,3238453.25
2015-05-01T01:32:45+05:30,3238466.0
2015-05-01T01:33:15+05:30,3238478.5
2015-05-01T01:33:45+05:30,3238491.25
2015-05-01T01:34:15+05:30,3238504.0
2015-05-01T01:34:45+05:30,3238516.75
2015-05-01T01:35:15+05:30,3238529.5
2015-05-01T01:35:45+05:30,3238542.25
2015-05-01T01:36:15+05:30,3238555.25
2015-05-01T01:36:45+05:30,3238568.0
2015-05-01T01:37:16+05:30,3238580.75
2015-05-01T01:37:46+05:30,3238593.5
2015-05-01T01:38:16+05:30,3238606.25
2015-05-01T01:38:46+05:30,3238618.75
2015-05-01T01:39:16+05:30,3238631.5
2015-05-01T01:39:46+05:30,3238643.75
2015-05-01T01:40:16+05:30,3238656.25
2015-05-01T01:40:46+05:30,3238668.75
2015-05-01T01:41:16+05:30,3238681.25
2015-05-01T01:41:46+05:30,3238693.75
2015-05-01T01:42:16+05:30,3238706.25
2015-05-01T01:42:46+05:30,3238718.5
2015-05-01T01:43:16+05:30,3238731.0
2015-05-01T01:43:46+05:30,3238743.5
2015-05-01T01:44:16+05:30,3238755.75
2015-05-01T01:44:46+05:30,3238768.25
2015-05-01T01:45:16+05:30,3238780.5
2015-05-01T01:45:46+05:30,3238793.0
2015-05-01T01:46:16+05:30,3238805.0
2015-05-01T01:46:46+05:30,3238817.25
2015-05-01T01:47:16+05:30,3238829.25
2015-05-01T01:47:46+05:30,3238841.25
2015-05-01T01:48:16+05:30,3238853.75
2015-05-01T01:48:46+05:30,3238865.75
