# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
# DownloadTime: Sun May  3 19:54:49 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 170
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Fourth Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 170
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Fourth Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 4
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 4
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter170/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714314000, 2306992.0]]
# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
2015-05-01T00:00:08+05:30,2312462.25
2015-05-01T00:00:38+05:30,2312469.0
2015-05-01T00:01:08+05:30,2312475.75
2015-05-01T00:01:38+05:30,2312482.5
2015-05-01T00:02:08+05:30,2312489.25
2015-05-01T00:02:38+05:30,2312496.0
2015-05-01T00:03:09+05:30,2312502.75
2015-05-01T00:03:39+05:30,2312509.25
2015-05-01T00:04:09+05:30,2312516.0
2015-05-01T00:04:39+05:30,2312522.75
2015-05-01T00:05:09+05:30,2312529.5
2015-05-01T00:05:39+05:30,2312536.25
2015-05-01T00:06:09+05:30,2312543.25
2015-05-01T00:06:39+05:30,2312550.0
2015-05-01T00:07:09+05:30,2312557.0
2015-05-01T00:07:39+05:30,2312564.0
2015-05-01T00:08:09+05:30,2312571.0
2015-05-01T00:08:39+05:30,2312577.75
2015-05-01T00:09:09+05:30,2312584.5
2015-05-01T00:09:39+05:30,2312591.5
2015-05-01T00:10:09+05:30,2312598.25
2015-05-01T00:10:39+05:30,2312605.25
2015-05-01T00:11:09+05:30,2312612.25
2015-05-01T00:11:39+05:30,2312619.0
2015-05-01T00:12:09+05:30,2312625.75
2015-05-01T00:12:39+05:30,2312632.75
2015-05-01T00:13:09+05:30,2312639.5
2015-05-01T00:13:40+05:30,2312646.25
2015-05-01T00:14:10+05:30,2312653.25
2015-05-01T00:14:40+05:30,2312660.0
2015-05-01T00:15:10+05:30,2312666.5
2015-05-01T00:15:40+05:30,2312672.75
2015-05-01T00:16:10+05:30,2312679.25
2015-05-01T00:16:40+05:30,2312685.75
2015-05-01T00:17:10+05:30,2312692.0
2015-05-01T00:17:40+05:30,2312698.25
2015-05-01T00:18:10+05:30,2312704.75
2015-05-01T00:18:40+05:30,2312711.25
2015-05-01T00:19:10+05:30,2312717.75
2015-05-01T00:19:40+05:30,2312724.5
2015-05-01T00:20:10+05:30,2312731.0
2015-05-01T00:20:40+05:30,2312737.75
2015-05-01T00:21:10+05:30,2312744.25
2015-05-01T00:21:40+05:30,2312750.75
2015-05-01T00:22:10+05:30,2312756.75
2015-05-01T00:22:40+05:30,2312762.75
2015-05-01T00:23:10+05:30,2312768.75
2015-05-01T00:23:41+05:30,2312774.75
2015-05-01T00:24:11+05:30,2312780.75
2015-05-01T00:24:41+05:30,2312786.75
2015-05-01T00:25:11+05:30,2312792.5
2015-05-01T00:25:41+05:30,2312798.25
2015-05-01T00:26:11+05:30,2312804.0
2015-05-01T00:26:41+05:30,2312809.75
2015-05-01T00:27:11+05:30,2312815.5
2015-05-01T00:27:41+05:30,2312821.25
2015-05-01T00:28:11+05:30,2312827.0
2015-05-01T00:28:41+05:30,2312832.75
2015-05-01T00:29:11+05:30,2312838.5
2015-05-01T00:29:41+05:30,2312844.25
2015-05-01T00:30:11+05:30,2312850.0
2015-05-01T00:30:41+05:30,2312856.0
2015-05-01T00:31:11+05:30,2312861.75
2015-05-01T00:31:41+05:30,2312867.5
2015-05-01T00:32:11+05:30,2312873.25
2015-05-01T00:32:41+05:30,2312879.25
2015-05-01T00:33:11+05:30,2312885.0
2015-05-01T00:33:41+05:30,2312890.75
2015-05-01T00:34:11+05:30,2312896.5
2015-05-01T00:34:41+05:30,2312902.25
2015-05-01T00:35:11+05:30,2312907.75
2015-05-01T00:35:41+05:30,2312913.5
2015-05-01T00:36:11+05:30,2312919.25
2015-05-01T00:36:42+05:30,2312925.0
2015-05-01T00:37:12+05:30,2312930.75
2015-05-01T00:37:42+05:30,2312936.5
2015-05-01T00:38:12+05:30,2312942.25
2015-05-01T00:38:42+05:30,2312948.0
2015-05-01T00:39:12+05:30,2312953.75
2015-05-01T00:39:42+05:30,2312959.5
2015-05-01T00:40:12+05:30,2312965.25
2015-05-01T00:40:42+05:30,2312971.0
2015-05-01T00:41:12+05:30,2312976.75
2015-05-01T00:41:43+05:30,2312982.5
2015-05-01T00:42:13+05:30,2312988.25
2015-05-01T00:42:43+05:30,2312994.0
2015-05-01T00:43:13+05:30,2312999.75
2015-05-01T00:43:43+05:30,2313005.5
2015-05-01T00:44:13+05:30,2313011.25
2015-05-01T00:44:43+05:30,2313017.0
2015-05-01T00:45:13+05:30,2313022.75
2015-05-01T00:45:43+05:30,2313028.5
2015-05-01T00:46:13+05:30,2313034.25
2015-05-01T00:46:43+05:30,2313039.75
2015-05-01T00:47:13+05:30,2313045.5
2015-05-01T00:47:43+05:30,2313051.25
2015-05-01T00:48:13+05:30,2313057.0
2015-05-01T00:48:43+05:30,2313062.5
2015-05-01T00:49:13+05:30,2313068.25
2015-05-01T00:49:43+05:30,2313074.0
2015-05-01T00:50:13+05:30,2313079.75
2015-05-01T00:50:43+05:30,2313085.5
2015-05-01T00:51:13+05:30,2313091.25
