# uuid: 5303e59f-33eb-57ea-a025-f85afce3316c
# DownloadTime: Sun May  3 19:54:49 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 172
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Ground Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 172
# Metadata/Instrument/Model: EM6500
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Ground Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 0
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 0
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter172/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714321000, 7470452.5]]
# uuid: 5303e59f-33eb-57ea-a025-f85afce3316c
2015-05-01T00:00:11+05:30,5361258.0
2015-05-01T00:00:41+05:30,5361262.5
2015-05-01T00:01:11+05:30,5361267.5
2015-05-01T00:01:41+05:30,5361272.5
2015-05-01T00:02:11+05:30,5361277.5
2015-05-01T00:02:41+05:30,5361282.5
2015-05-01T00:03:11+05:30,5361287.5
2015-05-01T00:03:41+05:30,5361292.5
2015-05-01T00:04:11+05:30,5361297.5
2015-05-01T00:04:41+05:30,5361302.5
2015-05-01T00:05:11+05:30,5361307.5
2015-05-01T00:05:41+05:30,5361312.5
2015-05-01T00:06:11+05:30,5361317.5
2015-05-01T00:06:41+05:30,5361322.5
2015-05-01T00:07:11+05:30,5361327.5
2015-05-01T00:07:42+05:30,5361332.5
2015-05-01T00:08:12+05:30,5361337.5
2015-05-01T00:08:42+05:30,5361342.5
2015-05-01T00:09:12+05:30,5361347.5
2015-05-01T00:09:42+05:30,5361352.5
2015-05-01T00:10:12+05:30,5361358.0
2015-05-01T00:10:42+05:30,5361363.0
2015-05-01T00:11:12+05:30,5361368.0
2015-05-01T00:11:42+05:30,5361373.0
2015-05-01T00:12:12+05:30,5361378.0
2015-05-01T00:12:42+05:30,5361383.0
2015-05-01T00:13:13+05:30,5361388.0
2015-05-01T00:13:43+05:30,5361393.0
2015-05-01T00:14:13+05:30,5361398.0
2015-05-01T00:14:43+05:30,5361403.0
2015-05-01T00:15:13+05:30,5361408.0
2015-05-01T00:15:43+05:30,5361412.5
2015-05-01T00:16:13+05:30,5361417.5
2015-05-01T00:16:43+05:30,5361422.5
2015-05-01T00:17:13+05:30,5361427.5
2015-05-01T00:17:43+05:30,5361432.5
2015-05-01T00:18:13+05:30,5361437.0
2015-05-01T00:18:43+05:30,5361442.0
2015-05-01T00:19:13+05:30,5361447.0
2015-05-01T00:19:43+05:30,5361451.5
2015-05-01T00:20:13+05:30,5361456.5
2015-05-01T00:20:43+05:30,5361461.5
2015-05-01T00:21:14+05:30,5361466.5
2015-05-01T00:21:44+05:30,5361471.0
2015-05-01T00:22:14+05:30,5361476.0
2015-05-01T00:22:44+05:30,5361481.0
2015-05-01T00:23:14+05:30,5361486.0
2015-05-01T00:23:44+05:30,5361490.5
2015-05-01T00:24:14+05:30,5361495.5
2015-05-01T00:24:44+05:30,5361500.5
2015-05-01T00:25:14+05:30,5361505.5
2015-05-01T00:25:45+05:30,5361510.0
2015-05-01T00:26:15+05:30,5361515.0
2015-05-01T00:26:45+05:30,5361520.0
2015-05-01T00:27:15+05:30,5361525.0
2015-05-01T00:27:45+05:30,5361530.0
2015-05-01T00:28:15+05:30,5361535.0
2015-05-01T00:28:45+05:30,5361539.5
2015-05-01T00:29:15+05:30,5361544.5
2015-05-01T00:29:45+05:30,5361549.5
2015-05-01T00:30:15+05:30,5361554.5
2015-05-01T00:30:45+05:30,5361559.0
2015-05-01T00:31:15+05:30,5361564.0
2015-05-01T00:31:45+05:30,5361569.0
2015-05-01T00:32:15+05:30,5361574.0
2015-05-01T00:32:46+05:30,5361579.0
2015-05-01T00:33:16+05:30,5361584.0
2015-05-01T00:33:46+05:30,5361588.5
2015-05-01T00:34:16+05:30,5361593.5
2015-05-01T00:34:46+05:30,5361598.5
2015-05-01T00:35:16+05:30,5361603.5
2015-05-01T00:35:46+05:30,5361608.0
2015-05-01T00:36:16+05:30,5361613.0
2015-05-01T00:36:46+05:30,5361618.0
2015-05-01T00:37:16+05:30,5361623.0
2015-05-01T00:37:46+05:30,5361628.0
2015-05-01T00:38:16+05:30,5361632.5
2015-05-01T00:38:46+05:30,5361637.5
2015-05-01T00:39:16+05:30,5361642.5
2015-05-01T00:39:46+05:30,5361647.5
2015-05-01T00:40:16+05:30,5361652.0
2015-05-01T00:40:46+05:30,5361657.0
2015-05-01T00:41:16+05:30,5361662.0
2015-05-01T00:41:46+05:30,5361667.0
2015-05-01T00:42:16+05:30,5361671.5
2015-05-01T00:42:47+05:30,5361676.5
2015-05-01T00:43:17+05:30,5361681.5
2015-05-01T00:43:47+05:30,5361686.5
2015-05-01T00:44:17+05:30,5361691.5
2015-05-01T00:44:47+05:30,5361696.5
2015-05-01T00:45:17+05:30,5361701.0
2015-05-01T00:45:47+05:30,5361706.0
2015-05-01T00:46:17+05:30,5361711.0
2015-05-01T00:46:47+05:30,5361716.0
2015-05-01T00:47:17+05:30,5361721.5
2015-05-01T00:47:47+05:30,5361726.5
2015-05-01T00:48:17+05:30,5361731.5
2015-05-01T00:48:48+05:30,5361737.0
2015-05-01T00:49:18+05:30,5361742.0
2015-05-01T00:49:48+05:30,5361747.0
2015-05-01T00:50:18+05:30,5361752.0
2015-05-01T00:50:48+05:30,5361757.5
2015-05-01T00:51:18+05:30,5361763.0
2015-05-01T00:51:48+05:30,5361768.5
2015-05-01T00:52:18+05:30,5361774.0
2015-05-01T00:52:48+05:30,5361779.5
2015-05-01T00:53:18+05:30,5361785.0
2015-05-01T00:53:48+05:30,5361790.5
2015-05-01T00:54:18+05:30,5361796.5
2015-05-01T00:54:48+05:30,5361802.0
2015-05-01T00:55:18+05:30,5361807.5
2015-05-01T00:55:49+05:30,5361813.0
2015-05-01T00:56:19+05:30,5361818.5
2015-05-01T00:56:49+05:30,5361824.0
2015-05-01T00:57:19+05:30,5361829.5
2015-05-01T00:57:49+05:30,5361835.5
2015-05-01T00:58:19+05:30,5361841.0
2015-05-01T00:58:49+05:30,5361846.5
2015-05-01T00:59:19+05:30,5361852.5
2015-05-01T00:59:49+05:30,5361858.0
2015-05-01T01:00:19+05:30,5361863.5
2015-05-01T01:00:49+05:30,5361869.5
2015-05-01T01:01:19+05:30,5361875.0
2015-05-01T01:01:49+05:30,5361880.5
2015-05-01T01:02:19+05:30,5361886.0
2015-05-01T01:02:49+05:30,5361892.0
2015-05-01T01:03:19+05:30,5361897.5
2015-05-01T01:03:49+05:30,5361903.0
2015-05-01T01:04:19+05:30,5361909.0
2015-05-01T01:04:49+05:30,5361914.5
2015-05-01T01:05:19+05:30,5361920.0
2015-05-01T01:05:49+05:30,5361925.5
2015-05-01T01:06:19+05:30,5361931.5
2015-05-01T01:06:49+05:30,5361937.0
2015-05-01T01:07:20+05:30,5361942.5
2015-05-01T01:07:50+05:30,5361948.0
2015-05-01T01:08:20+05:30,5361954.0
2015-05-01T01:08:50+05:30,5361959.5
2015-05-01T01:09:20+05:30,5361965.5
2015-05-01T01:09:50+05:30,5361971.0
2015-05-01T01:10:20+05:30,5361976.5
2015-05-01T01:10:50+05:30,5361982.5
2015-05-01T01:11:20+05:30,5361988.0
2015-05-01T01:11:50+05:30,5361993.5
2015-05-01T01:12:20+05:30,5361999.5
2015-05-01T01:12:50+05:30,5362005.0
2015-05-01T01:13:20+05:30,5362010.5
2015-05-01T01:13:50+05:30,5362016.5
2015-05-01T01:14:20+05:30,5362022.0
2015-05-01T01:14:50+05:30,5362027.5
2015-05-01T01:15:20+05:30,5362033.5
2015-05-01T01:15:50+05:30,5362039.0
2015-05-01T01:16:20+05:30,5362044.5
2015-05-01T01:16:50+05:30,5362050.5
2015-05-01T01:17:21+05:30,5362056.0
2015-05-01T01:17:51+05:30,5362061.5
2015-05-01T01:18:21+05:30,5362067.0
2015-05-01T01:18:51+05:30,5362072.5
2015-05-01T01:19:21+05:30,5362078.0
2015-05-01T01:19:51+05:30,5362083.5
2015-05-01T01:20:21+05:30,5362089.0
2015-05-01T01:20:51+05:30,5362094.5
2015-05-01T01:21:21+05:30,5362100.0
2015-05-01T01:21:51+05:30,5362105.5
2015-05-01T01:22:21+05:30,5362111.0
2015-05-01T01:22:51+05:30,5362116.5
2015-05-01T01:23:21+05:30,5362122.0
2015-05-01T01:23:51+05:30,5362127.5
2015-05-01T01:24:21+05:30,5362132.5
2015-05-01T01:24:51+05:30,5362138.0
2015-05-01T01:25:21+05:30,5362143.5
2015-05-01T01:25:51+05:30,5362149.0
2015-05-01T01:26:21+05:30,5362154.5
2015-05-01T01:26:51+05:30,5362160.0
2015-05-01T01:27:21+05:30,5362165.5
2015-05-01T01:27:52+05:30,5362171.0
2015-05-01T01:28:22+05:30,5362176.5
2015-05-01T01:28:52+05:30,5362182.0
2015-05-01T01:29:22+05:30,5362187.5
2015-05-01T01:29:52+05:30,5362193.0
2015-05-01T01:30:22+05:30,5362198.5
2015-05-01T01:30:52+05:30,5362204.0
2015-05-01T01:31:22+05:30,5362209.5
2015-05-01T01:31:52+05:30,5362215.0
2015-05-01T01:32:22+05:30,5362220.5
2015-05-01T01:32:52+05:30,5362226.0
2015-05-01T01:33:22+05:30,5362231.5
2015-05-01T01:33:52+05:30,5362236.5
2015-05-01T01:34:22+05:30,5362242.0
2015-05-01T01:34:52+05:30,5362247.5
2015-05-01T01:35:22+05:30,5362253.0
2015-05-01T01:35:52+05:30,5362258.5
2015-05-01T01:36:22+05:30,5362264.0
2015-05-01T01:36:52+05:30,5362269.5
2015-05-01T01:37:22+05:30,5362274.5
2015-05-01T01:37:52+05:30,5362280.0
2015-05-01T01:38:22+05:30,5362285.0
2015-05-01T01:38:52+05:30,5362290.5
2015-05-01T01:39:22+05:30,5362295.5
2015-05-01T01:39:52+05:30,5362301.0
2015-05-01T01:40:23+05:30,5362306.0
2015-05-01T01:40:53+05:30,5362311.5
2015-05-01T01:41:23+05:30,5362316.5
2015-05-01T01:41:53+05:30,5362321.0
2015-05-01T01:42:23+05:30,5362326.0
2015-05-01T01:42:53+05:30,5362331.0
2015-05-01T01:43:23+05:30,5362335.5
2015-05-01T01:43:53+05:30,5362340.0
2015-05-01T01:44:23+05:30,5362344.5
2015-05-01T01:44:53+05:30,5362349.5
2015-05-01T01:45:23+05:30,5362354.0
2015-05-01T01:45:53+05:30,5362358.5
2015-05-01T01:46:23+05:30,5362363.0
2015-05-01T01:46:53+05:30,5362368.0
2015-05-01T01:47:23+05:30,5362372.5
2015-05-01T01:47:53+05:30,5362377.0
2015-05-01T01:48:23+05:30,5362381.5
2015-05-01T01:48:53+05:30,5362386.5
2015-05-01T01:49:24+05:30,5362391.0
2015-05-01T01:49:54+05:30,5362395.5
2015-05-01T01:50:24+05:30,5362400.5
2015-05-01T01:50:54+05:30,5362405.0
2015-05-01T01:51:24+05:30,5362410.0
2015-05-01T01:51:54+05:30,5362414.5
2015-05-01T01:52:24+05:30,5362419.0
2015-05-01T01:52:54+05:30,5362424.0
2015-05-01T01:53:24+05:30,5362428.5
2015-05-01T01:53:54+05:30,5362433.0
2015-05-01T01:54:24+05:30,5362438.0
2015-05-01T01:54:55+05:30,5362442.5
2015-05-01T01:55:25+05:30,5362447.5
2015-05-01T01:55:55+05:30,5362452.0
2015-05-01T01:56:25+05:30,5362456.5
2015-05-01T01:56:55+05:30,5362461.5
2015-05-01T01:57:25+05:30,5362466.0
2015-05-01T01:57:55+05:30,5362471.0
2015-05-01T01:58:25+05:30,5362475.5
2015-05-01T01:58:55+05:30,5362480.5
2015-05-01T01:59:25+05:30,5362485.0
2015-05-01T01:59:56+05:30,5362489.5
2015-05-01T02:00:26+05:30,5362494.5
2015-05-01T02:00:56+05:30,5362499.5
2015-05-01T02:01:26+05:30,5362504.0
2015-05-01T02:01:56+05:30,5362508.5
2015-05-01T02:02:26+05:30,5362513.5
2015-05-01T02:02:56+05:30,5362518.0
2015-05-01T02:03:26+05:30,5362523.0
2015-05-01T02:03:56+05:30,5362527.5
2015-05-01T02:04:26+05:30,5362532.0
2015-05-01T02:04:56+05:30,5362537.0
2015-05-01T02:05:26+05:30,5362541.5
2015-05-01T02:05:56+05:30,5362546.5
2015-05-01T02:06:26+05:30,5362551.0
2015-05-01T02:06:56+05:30,5362555.5
2015-05-01T02:07:26+05:30,5362560.5
2015-05-01T02:07:56+05:30,5362565.0
2015-05-01T02:08:26+05:30,5362570.0
2015-05-01T02:08:56+05:30,5362574.5
2015-05-01T02:09:27+05:30,5362579.0
2015-05-01T02:09:57+05:30,5362584.0
2015-05-01T02:10:27+05:30,5362588.5
2015-05-01T02:10:57+05:30,5362593.0
2015-05-01T02:11:27+05:30,5362598.0
2015-05-01T02:11:57+05:30,5362603.0
2015-05-01T02:12:27+05:30,5362607.5
2015-05-01T02:12:57+05:30,5362612.0
2015-05-01T02:13:28+05:30,5362617.0
2015-05-01T02:13:58+05:30,5362621.5
2015-05-01T02:14:28+05:30,5362626.5
2015-05-01T02:14:58+05:30,5362631.0
2015-05-01T02:15:28+05:30,5362636.0
2015-05-01T02:15:58+05:30,5362640.5
2015-05-01T02:16:28+05:30,5362645.0
2015-05-01T02:16:58+05:30,5362650.0
2015-05-01T02:17:28+05:30,5362654.5
2015-05-01T02:17:59+05:30,5362659.5
2015-05-01T02:18:29+05:30,5362664.0
2015-05-01T02:18:59+05:30,5362669.0
2015-05-01T02:19:29+05:30,5362673.5
2015-05-01T02:19:59+05:30,5362678.5
2015-05-01T02:20:29+05:30,5362683.0
2015-05-01T02:20:59+05:30,5362688.0
2015-05-01T02:21:29+05:30,5362692.5
2015-05-01T02:21:59+05:30,5362697.0
2015-05-01T02:22:29+05:30,5362702.0
2015-05-01T02:23:00+05:30,5362706.5
2015-05-01T02:23:30+05:30,5362711.5
2015-05-01T02:24:00+05:30,5362716.0
2015-05-01T02:24:30+05:30,5362721.0
2015-05-01T02:25:00+05:30,5362725.5
2015-05-01T02:25:30+05:30,5362730.5
2015-05-01T02:26:01+05:30,5362735.0
2015-05-01T02:26:31+05:30,5362739.5
2015-05-01T02:27:01+05:30,5362744.5
2015-05-01T02:27:31+05:30,5362749.0
2015-05-01T02:28:01+05:30,5362754.0
2015-05-01T02:28:31+05:30,5362759.0
2015-05-01T02:29:01+05:30,5362763.5
2015-05-01T02:29:31+05:30,5362768.0
2015-05-01T02:30:01+05:30,5362773.0
2015-05-01T02:30:31+05:30,5362777.5
2015-05-01T02:31:01+05:30,5362782.5
2015-05-01T02:31:32+05:30,5362787.0
2015-05-01T02:32:02+05:30,5362792.0
2015-05-01T02:32:32+05:30,5362796.5
2015-05-01T02:33:02+05:30,5362801.5
2015-05-01T02:33:32+05:30,5362806.5
2015-05-01T02:34:02+05:30,5362811.0
2015-05-01T02:34:32+05:30,5362816.0
2015-05-01T02:35:02+05:30,5362820.5
2015-05-01T02:35:32+05:30,5362825.0
2015-05-01T02:36:02+05:30,5362830.0
2015-05-01T02:36:32+05:30,5362834.5
2015-05-01T02:37:02+05:30,5362839.5
2015-05-01T02:37:32+05:30,5362844.0
2015-05-01T02:38:02+05:30,5362849.0
2015-05-01T02:38:32+05:30,5362853.5
2015-05-01T02:39:03+05:30,5362858.5
2015-05-01T02:39:33+05:30,5362863.0
2015-05-01T02:40:03+05:30,5362868.0
2015-05-01T02:40:33+05:30,5362872.5
2015-05-01T02:41:03+05:30,5362877.5
2015-05-01T02:41:33+05:30,5362882.0
2015-05-01T02:42:03+05:30,5362887.0
2015-05-01T02:42:33+05:30,5362891.5
2015-05-01T02:43:03+05:30,5362896.5
2015-05-01T02:43:33+05:30,5362901.0
2015-05-01T02:44:03+05:30,5362906.0
2015-05-01T02:44:33+05:30,5362910.5
2015-05-01T02:45:04+05:30,5362915.5
2015-05-01T02:45:34+05:30,5362920.5
2015-05-01T02:46:04+05:30,5362925.0
2015-05-01T02:46:34+05:30,5362930.0
2015-05-01T02:47:04+05:30,5362934.5
2015-05-01T02:47:34+05:30,5362939.5
2015-05-01T02:48:05+05:30,5362944.0
2015-05-01T02:48:35+05:30,5362949.0
2015-05-01T02:49:05+05:30,5362954.0
2015-05-01T02:49:35+05:30,5362958.5
2015-05-01T02:50:05+05:30,5362963.5
2015-05-01T02:50:35+05:30,5362968.5
2015-05-01T02:51:05+05:30,5362973.0
2015-05-01T02:51:35+05:30,5362978.0
