# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
# DownloadTime: Sun May  3 19:54:50 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 174
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 174
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter174/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714315000, 3772775.5]]
# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
2015-05-01T00:00:13+05:30,4688070.5
2015-05-01T00:00:43+05:30,4688081.5
2015-05-01T00:01:13+05:30,4688092.5
2015-05-01T00:01:43+05:30,4688103.0
2015-05-01T00:02:13+05:30,4688114.0
2015-05-01T00:02:43+05:30,4688124.5
2015-05-01T00:03:13+05:30,4688135.5
2015-05-01T00:03:43+05:30,4688146.0
2015-05-01T00:04:13+05:30,4688156.5
2015-05-01T00:04:43+05:30,4688167.5
2015-05-01T00:05:13+05:30,4688178.0
2015-05-01T00:05:43+05:30,4688188.5
2015-05-01T00:06:13+05:30,4688199.0
2015-05-01T00:06:43+05:30,4688209.0
2015-05-01T00:07:13+05:30,4688227.0
2015-05-01T00:07:44+05:30,4688248.5
2015-05-01T00:08:14+05:30,4688270.0
2015-05-01T00:08:44+05:30,4688291.0
2015-05-01T00:09:14+05:30,4688312.5
2015-05-01T00:09:44+05:30,4688324.0
2015-05-01T00:10:14+05:30,4688334.0
2015-05-01T00:10:44+05:30,4688344.0
2015-05-01T00:11:14+05:30,4688354.5
2015-05-01T00:11:44+05:30,4688364.5
2015-05-01T00:12:14+05:30,4688374.5
2015-05-01T00:12:44+05:30,4688384.5
2015-05-01T00:13:15+05:30,4688394.5
2015-05-01T00:13:45+05:30,4688404.0
2015-05-01T00:14:15+05:30,4688414.0
2015-05-01T00:14:45+05:30,4688429.0
2015-05-01T00:15:15+05:30,4688446.0
2015-05-01T00:15:45+05:30,4688455.5
2015-05-01T00:16:15+05:30,4688465.5
2015-05-01T00:16:45+05:30,4688475.5
2015-05-01T00:17:15+05:30,4688485.5
2015-05-01T00:17:45+05:30,4688495.0
2015-05-01T00:18:15+05:30,4688505.0
2015-05-01T00:18:45+05:30,4688514.5
2015-05-01T00:19:15+05:30,4688524.5
2015-05-01T00:19:45+05:30,4688534.0
2015-05-01T00:20:15+05:30,4688544.0
2015-05-01T00:20:46+05:30,4688553.5
2015-05-01T00:21:16+05:30,4688563.5
2015-05-01T00:21:46+05:30,4688574.0
2015-05-01T00:22:16+05:30,4688584.5
2015-05-01T00:22:46+05:30,4688595.0
2015-05-01T00:23:16+05:30,4688606.0
2015-05-01T00:23:46+05:30,4688616.5
2015-05-01T00:24:16+05:30,4688627.0
2015-05-01T00:24:46+05:30,4688638.0
2015-05-01T00:25:16+05:30,4688648.5
2015-05-01T00:25:47+05:30,4688659.0
2015-05-01T00:26:17+05:30,4688669.5
2015-05-01T00:26:47+05:30,4688680.0
2015-05-01T00:27:17+05:30,4688690.5
2015-05-01T00:27:47+05:30,4688701.0
2015-05-01T00:28:17+05:30,4688717.0
2015-05-01T00:28:47+05:30,4688738.5
2015-05-01T00:29:17+05:30,4688759.0
2015-05-01T00:29:47+05:30,4688779.0
2015-05-01T00:30:17+05:30,4688798.0
2015-05-01T00:30:47+05:30,4688808.0
2015-05-01T00:31:17+05:30,4688818.0
2015-05-01T00:31:47+05:30,4688828.0
2015-05-01T00:32:17+05:30,4688837.5
2015-05-01T00:32:48+05:30,4688847.5
2015-05-01T00:33:18+05:30,4688857.0
2015-05-01T00:33:48+05:30,4688867.5
2015-05-01T00:34:18+05:30,4688877.0
2015-05-01T00:34:48+05:30,4688887.0
2015-05-01T00:35:18+05:30,4688896.5
2015-05-01T00:35:48+05:30,4688906.5
