# uuid: 376413c8-0dd0-5191-a291-091636b45a01
# DownloadTime: Sun May  3 19:54:50 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 176
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 176
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter176/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714317000, 4429657.0]]
# uuid: 376413c8-0dd0-5191-a291-091636b45a01
2015-05-01T00:00:15+05:30,5088841.0
2015-05-01T00:00:45+05:30,5088855.0
2015-05-01T00:01:15+05:30,5088869.0
2015-05-01T00:01:45+05:30,5088883.0
2015-05-01T00:02:15+05:30,5088897.5
2015-05-01T00:02:45+05:30,5088911.5
2015-05-01T00:03:15+05:30,5088925.5
2015-05-01T00:03:45+05:30,5088939.5
2015-05-01T00:04:15+05:30,5088953.5
2015-05-01T00:04:45+05:30,5088967.0
2015-05-01T00:05:15+05:30,5088981.0
2015-05-01T00:05:45+05:30,5088994.5
2015-05-01T00:06:15+05:30,5089008.5
2015-05-01T00:06:45+05:30,5089022.5
2015-05-01T00:07:15+05:30,5089036.0
2015-05-01T00:07:46+05:30,5089050.0
2015-05-01T00:08:16+05:30,5089064.0
2015-05-01T00:08:46+05:30,5089077.5
2015-05-01T00:09:16+05:30,5089091.5
2015-05-01T00:09:46+05:30,5089105.0
2015-05-01T00:10:16+05:30,5089119.0
2015-05-01T00:10:46+05:30,5089132.5
2015-05-01T00:11:16+05:30,5089146.0
2015-05-01T00:11:46+05:30,5089160.0
2015-05-01T00:12:16+05:30,5089174.0
2015-05-01T00:12:47+05:30,5089187.5
2015-05-01T00:13:17+05:30,5089202.0
2015-05-01T00:13:47+05:30,5089215.5
2015-05-01T00:14:17+05:30,5089229.5
2015-05-01T00:14:47+05:30,5089243.5
2015-05-01T00:15:17+05:30,5089257.0
2015-05-01T00:15:47+05:30,5089271.0
2015-05-01T00:16:17+05:30,5089284.5
2015-05-01T00:16:47+05:30,5089298.5
2015-05-01T00:17:17+05:30,5089312.5
2015-05-01T00:17:47+05:30,5089326.0
2015-05-01T00:18:17+05:30,5089340.0
2015-05-01T00:18:47+05:30,5089353.5
2015-05-01T00:19:17+05:30,5089367.5
2015-05-01T00:19:47+05:30,5089381.5
2015-05-01T00:20:17+05:30,5089395.0
2015-05-01T00:20:48+05:30,5089409.5
2015-05-01T00:21:18+05:30,5089423.0
2015-05-01T00:21:48+05:30,5089437.0
2015-05-01T00:22:18+05:30,5089450.5
2015-05-01T00:22:48+05:30,5089464.5
2015-05-01T00:23:18+05:30,5089478.0
2015-05-01T00:23:48+05:30,5089492.0
2015-05-01T00:24:18+05:30,5089506.0
