# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
# DownloadTime: Sun May  3 19:54:51 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 178
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 178
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter178/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714319000, 2557707.0]]
# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
2015-05-01T00:00:17+05:30,3140987.0
2015-05-01T00:00:47+05:30,3140994.5
2015-05-01T00:01:17+05:30,3141002.0
2015-05-01T00:01:47+05:30,3141009.5
2015-05-01T00:02:17+05:30,3141017.25
2015-05-01T00:02:47+05:30,3141024.75
2015-05-01T00:03:17+05:30,3141032.25
2015-05-01T00:03:47+05:30,3141039.75
2015-05-01T00:04:17+05:30,3141047.25
2015-05-01T00:04:47+05:30,3141054.75
2015-05-01T00:05:17+05:30,3141062.25
2015-05-01T00:05:47+05:30,3141069.75
2015-05-01T00:06:17+05:30,3141077.25
2015-05-01T00:06:47+05:30,3141084.5
2015-05-01T00:07:17+05:30,3141092.0
2015-05-01T00:07:48+05:30,3141099.5
2015-05-01T00:08:18+05:30,3141107.0
2015-05-01T00:08:48+05:30,3141114.5
2015-05-01T00:09:18+05:30,3141122.0
2015-05-01T00:09:48+05:30,3141129.5
2015-05-01T00:10:18+05:30,3141137.0
2015-05-01T00:10:48+05:30,3141144.5
2015-05-01T00:11:18+05:30,3141151.75
2015-05-01T00:11:48+05:30,3141159.25
2015-05-01T00:12:18+05:30,3141166.5
2015-05-01T00:12:49+05:30,3141174.25
2015-05-01T00:13:19+05:30,3141181.75
2015-05-01T00:13:49+05:30,3141189.0
2015-05-01T00:14:19+05:30,3141196.5
2015-05-01T00:14:49+05:30,3141204.0
2015-05-01T00:15:19+05:30,3141211.25
2015-05-01T00:15:49+05:30,3141218.75
2015-05-01T00:16:19+05:30,3141226.0
2015-05-01T00:16:49+05:30,3141233.5
2015-05-01T00:17:19+05:30,3141240.75
2015-05-01T00:17:49+05:30,3141248.0
2015-05-01T00:18:19+05:30,3141255.5
2015-05-01T00:18:49+05:30,3141262.75
2015-05-01T00:19:19+05:30,3141270.25
2015-05-01T00:19:49+05:30,3141277.5
2015-05-01T00:20:19+05:30,3141285.0
2015-05-01T00:20:50+05:30,3141292.25
2015-05-01T00:21:20+05:30,3141299.5
2015-05-01T00:21:50+05:30,3141307.0
2015-05-01T00:22:20+05:30,3141314.25
2015-05-01T00:22:50+05:30,3141321.75
2015-05-01T00:23:20+05:30,3141329.0
2015-05-01T00:23:50+05:30,3141336.25
2015-05-01T00:24:20+05:30,3141343.75
2015-05-01T00:24:50+05:30,3141351.0
2015-05-01T00:25:21+05:30,3141358.5
2015-05-01T00:25:51+05:30,3141366.0
2015-05-01T00:26:21+05:30,3141373.25
2015-05-01T00:26:51+05:30,3141380.5
2015-05-01T00:27:21+05:30,3141388.0
2015-05-01T00:27:51+05:30,3141395.25
2015-05-01T00:28:21+05:30,3141402.75
2015-05-01T00:28:51+05:30,3141410.0
2015-05-01T00:29:21+05:30,3141417.25
2015-05-01T00:29:51+05:30,3141424.75
2015-05-01T00:30:21+05:30,3141432.0
2015-05-01T00:30:51+05:30,3141439.25
2015-05-01T00:31:21+05:30,3141446.5
2015-05-01T00:31:51+05:30,3141453.75
2015-05-01T00:32:21+05:30,3141461.0
2015-05-01T00:32:52+05:30,3141468.5
2015-05-01T00:33:22+05:30,3141475.75
2015-05-01T00:33:52+05:30,3141482.75
2015-05-01T00:34:22+05:30,3141490.0
2015-05-01T00:34:52+05:30,3141497.25
2015-05-01T00:35:22+05:30,3141504.5
2015-05-01T00:35:52+05:30,3141511.5
2015-05-01T00:36:22+05:30,3141518.75
2015-05-01T00:36:52+05:30,3141526.0
2015-05-01T00:37:22+05:30,3141533.25
2015-05-01T00:37:52+05:30,3141540.25
2015-05-01T00:38:22+05:30,3141547.75
2015-05-01T00:38:52+05:30,3141555.0
2015-05-01T00:39:22+05:30,3141562.25
2015-05-01T00:39:52+05:30,3141569.5
2015-05-01T00:40:22+05:30,3141576.5
2015-05-01T00:40:52+05:30,3141583.75
2015-05-01T00:41:22+05:30,3141591.0
2015-05-01T00:41:52+05:30,3141598.25
2015-05-01T00:42:22+05:30,3141605.25
2015-05-01T00:42:53+05:30,3141612.5
2015-05-01T00:43:23+05:30,3141619.75
2015-05-01T00:43:53+05:30,3141627.0
