# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
# DownloadTime: Sun May  3 19:54:24 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 162
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Ground Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 162
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Ground Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 0
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 0
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter162/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714306000, 2223930.0]]
# uuid: a2095480-eed6-584e-b5e4-d7199eee9ac3
2015-04-30T18:00:21+05:30,2402699.25
2015-04-30T18:00:51+05:30,2402701.0
2015-04-30T18:01:21+05:30,2402702.5
2015-04-30T18:01:51+05:30,2402704.25
2015-04-30T18:02:21+05:30,2402706.0
2015-04-30T18:02:51+05:30,2402707.75
2015-04-30T18:03:21+05:30,2402709.25
2015-04-30T18:03:51+05:30,2402711.0
2015-04-30T18:04:21+05:30,2402712.75
2015-04-30T18:04:51+05:30,2402714.5
2015-04-30T18:05:21+05:30,2402716.25
2015-04-30T18:05:51+05:30,2402718.0
2015-04-30T18:06:21+05:30,2402719.5
2015-04-30T18:06:51+05:30,2402721.25
2015-04-30T18:07:21+05:30,2402723.0
2015-04-30T18:07:51+05:30,2402724.5
2015-04-30T18:08:21+05:30,2402726.25
2015-04-30T18:08:51+05:30,2402728.0
2015-04-30T18:09:21+05:30,2402729.75
2015-04-30T18:09:51+05:30,2402731.25
2015-04-30T18:10:21+05:30,2402733.0
2015-04-30T18:10:51+05:30,2402734.75
2015-04-30T18:11:21+05:30,2402736.25
2015-04-30T18:11:52+05:30,2402738.0
2015-04-30T18:12:22+05:30,2402739.75
2015-04-30T18:12:52+05:30,2402741.25
2015-04-30T18:13:22+05:30,2402743.0
2015-04-30T18:13:52+05:30,2402744.75
2015-04-30T18:14:22+05:30,2402746.5
2015-04-30T18:14:52+05:30,2402748.0
2015-04-30T18:15:22+05:30,2402749.75
2015-04-30T18:15:52+05:30,2402751.5
2015-04-30T18:16:22+05:30,2402753.0
2015-04-30T18:16:52+05:30,2402754.75
2015-04-30T18:17:23+05:30,2402756.25
2015-04-30T18:17:53+05:30,2402758.0
2015-04-30T18:18:23+05:30,2402759.75
2015-04-30T18:18:53+05:30,2402761.25
2015-04-30T18:19:23+05:30,2402763.0
2015-04-30T18:19:53+05:30,2402764.75
2015-04-30T18:20:23+05:30,2402766.25
2015-04-30T18:20:53+05:30,2402768.0
2015-04-30T18:21:23+05:30,2402769.75
2015-04-30T18:21:53+05:30,2402771.5
2015-04-30T18:22:23+05:30,2402773.0
2015-04-30T18:22:53+05:30,2402774.75
2015-04-30T18:23:23+05:30,2402776.5
2015-04-30T18:23:53+05:30,2402778.25
2015-04-30T18:24:23+05:30,2402779.75
