# uuid: b7c99e66-e3be-596a-baf9-47b01f9e21f9
# DownloadTime: Sun May  3 19:54:24 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 164
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 164
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter164/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714308000, 2597542.75]]
# uuid: b7c99e66-e3be-596a-baf9-47b01f9e21f9
2015-04-30T18:00:23+05:30,2461870.25
2015-04-30T18:00:53+05:30,2461875.0
2015-04-30T18:01:23+05:30,2461879.5
2015-04-30T18:01:53+05:30,2461884.0
2015-04-30T18:02:23+05:30,2461900.75
2015-04-30T18:02:53+05:30,2461918.25
2015-04-30T18:03:23+05:30,2461935.75
2015-04-30T18:03:53+05:30,2461953.0
2015-04-30T18:04:23+05:30,2461970.5
2015-04-30T18:04:53+05:30,2461987.75
2015-04-30T18:05:23+05:30,2462005.5
2015-04-30T18:05:53+05:30,2462022.5
2015-04-30T18:06:23+05:30,2462039.75
2015-04-30T18:06:53+05:30,2462056.75
2015-04-30T18:07:23+05:30,2462074.0
2015-04-30T18:07:53+05:30,2462091.0
2015-04-30T18:08:23+05:30,2462108.0
2015-04-30T18:08:53+05:30,2462125.25
2015-04-30T18:09:23+05:30,2462142.25
2015-04-30T18:09:53+05:30,2462159.25
2015-04-30T18:10:23+05:30,2462176.25
2015-04-30T18:10:53+05:30,2462193.5
2015-04-30T18:11:23+05:30,2462210.5
2015-04-30T18:11:54+05:30,2462227.5
2015-04-30T18:12:24+05:30,2462244.5
2015-04-30T18:12:54+05:30,2462261.5
2015-04-30T18:13:24+05:30,2462278.75
2015-04-30T18:13:54+05:30,2462295.75
2015-04-30T18:14:24+05:30,2462312.75
2015-04-30T18:14:54+05:30,2462329.75
2015-04-30T18:15:24+05:30,2462346.75
2015-04-30T18:15:54+05:30,2462364.25
2015-04-30T18:16:24+05:30,2462381.25
2015-04-30T18:16:54+05:30,2462398.0
2015-04-30T18:17:25+05:30,2462415.5
2015-04-30T18:17:55+05:30,2462433.0
2015-04-30T18:18:25+05:30,2462450.0
2015-04-30T18:18:55+05:30,2462467.25
2015-04-30T18:19:25+05:30,2462484.5
2015-04-30T18:19:55+05:30,2462502.0
2015-04-30T18:20:25+05:30,2462519.75
2015-04-30T18:20:55+05:30,2462537.5
2015-04-30T18:21:25+05:30,2462555.25
2015-04-30T18:21:55+05:30,2462573.0
2015-04-30T18:22:25+05:30,2462590.75
2015-04-30T18:22:55+05:30,2462608.5
2015-04-30T18:23:25+05:30,2462627.0
2015-04-30T18:23:55+05:30,2462644.75
2015-04-30T18:24:25+05:30,2462662.5
