# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
# DownloadTime: Sun May  3 19:54:10 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 166
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 166
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter166/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714310000, 2178998.75]]
# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
2015-05-01T06:00:10+05:30,2000451.875
2015-05-01T06:00:40+05:30,2000455.625
2015-05-01T06:01:10+05:30,2000459.25
2015-05-01T06:01:40+05:30,2000463.0
2015-05-01T06:02:10+05:30,2000466.625
2015-05-01T06:02:40+05:30,2000470.375
2015-05-01T06:03:10+05:30,2000474.0
2015-05-01T06:03:40+05:30,2000477.75
2015-05-01T06:04:10+05:30,2000481.375
2015-05-01T06:04:40+05:30,2000485.125
2015-05-01T06:05:10+05:30,2000488.75
2015-05-01T06:05:40+05:30,2000492.375
2015-05-01T06:06:10+05:30,2000496.125
2015-05-01T06:06:40+05:30,2000499.75
2015-05-01T06:07:10+05:30,2000503.5
2015-05-01T06:07:41+05:30,2000507.625
2015-05-01T06:08:11+05:30,2000511.625
2015-05-01T06:08:41+05:30,2000515.5
2015-05-01T06:09:11+05:30,2000519.5
2015-05-01T06:09:41+05:30,2000523.375
2015-05-01T06:10:11+05:30,2000527.375
2015-05-01T06:10:41+05:30,2000531.25
2015-05-01T06:11:11+05:30,2000535.25
2015-05-01T06:11:41+05:30,2000539.125
2015-05-01T06:12:11+05:30,2000543.125
2015-05-01T06:12:41+05:30,2000547.125
2015-05-01T06:13:12+05:30,2000551.125
2015-05-01T06:13:42+05:30,2000555.0
2015-05-01T06:14:12+05:30,2000559.0
2015-05-01T06:14:42+05:30,2000562.875
2015-05-01T06:15:12+05:30,2000566.875
2015-05-01T06:15:42+05:30,2000570.75
2015-05-01T06:16:12+05:30,2000574.75
2015-05-01T06:16:42+05:30,2000578.625
2015-05-01T06:17:12+05:30,2000582.5
2015-05-01T06:17:42+05:30,2000586.5
2015-05-01T06:18:12+05:30,2000590.375
2015-05-01T06:18:42+05:30,2000594.25
2015-05-01T06:19:12+05:30,2000598.25
2015-05-01T06:19:42+05:30,2000602.125
2015-05-01T06:20:12+05:30,2000606.125
2015-05-01T06:20:42+05:30,2000610.0
2015-05-01T06:21:12+05:30,2000614.0
2015-05-01T06:21:42+05:30,2000617.875
2015-05-01T06:22:12+05:30,2000621.875
2015-05-01T06:22:42+05:30,2000625.625
2015-05-01T06:23:12+05:30,2000629.25
2015-05-01T06:23:42+05:30,2000632.875
2015-05-01T06:24:12+05:30,2000636.5
2015-05-01T06:24:42+05:30,2000640.25
2015-05-01T06:25:13+05:30,2000643.875
2015-05-01T06:25:43+05:30,2000647.5
2015-05-01T06:26:13+05:30,2000651.125
2015-05-01T06:26:43+05:30,2000654.75
2015-05-01T06:27:13+05:30,2000658.375
2015-05-01T06:27:43+05:30,2000662.0
2015-05-01T06:28:13+05:30,2000665.75
2015-05-01T06:28:43+05:30,2000669.375
2015-05-01T06:29:13+05:30,2000673.0
2015-05-01T06:29:43+05:30,2000676.625
2015-05-01T06:30:13+05:30,2000680.25
2015-05-01T06:30:43+05:30,2000683.875
2015-05-01T06:31:13+05:30,2000687.5
2015-05-01T06:31:43+05:30,2000691.25
2015-05-01T06:32:13+05:30,2000694.875
2015-05-01T06:32:43+05:30,2000698.5
2015-05-01T06:33:13+05:30,2000702.25
2015-05-01T06:33:43+05:30,2000705.875
2015-05-01T06:34:13+05:30,2000709.5
2015-05-01T06:34:43+05:30,2000713.125
2015-05-01T06:35:13+05:30,2000716.875
2015-05-01T06:35:44+05:30,2000720.5
2015-05-01T06:36:14+05:30,2000724.125
2015-05-01T06:36:44+05:30,2000727.75
2015-05-01T06:37:14+05:30,2000731.375
2015-05-01T06:37:44+05:30,2000735.0
2015-05-01T06:38:14+05:30,2000747.625
2015-05-01T06:38:44+05:30,2000755.75
2015-05-01T06:39:14+05:30,2000759.375
2015-05-01T06:39:44+05:30,2000763.0
2015-05-01T06:40:14+05:30,2000770.125
2015-05-01T06:40:44+05:30,2000773.75
2015-05-01T06:41:14+05:30,2000781.875
2015-05-01T06:41:44+05:30,2000788.625
2015-05-01T06:42:14+05:30,2000792.25
