# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
# DownloadTime: Sun May  3 19:54:24 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 166
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 166
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter166/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714310000, 2178998.75]]
# uuid: d232a8a7-00f0-5260-95ff-5705899b2db4
2015-04-30T18:00:25+05:30,1994279.125
2015-04-30T18:00:55+05:30,1994282.0
2015-04-30T18:01:25+05:30,1994284.875
2015-04-30T18:01:55+05:30,1994287.875
2015-04-30T18:02:25+05:30,1994290.75
2015-04-30T18:02:55+05:30,1994293.625
2015-04-30T18:03:25+05:30,1994296.5
2015-04-30T18:03:55+05:30,1994299.375
2015-04-30T18:04:25+05:30,1994302.25
2015-04-30T18:04:55+05:30,1994305.125
2015-04-30T18:05:25+05:30,1994308.0
2015-04-30T18:05:55+05:30,1994310.75
2015-04-30T18:06:25+05:30,1994313.625
2015-04-30T18:06:55+05:30,1994316.5
2015-04-30T18:07:25+05:30,1994319.375
2015-04-30T18:07:55+05:30,1994322.25
2015-04-30T18:08:25+05:30,1994325.125
2015-04-30T18:08:55+05:30,1994328.0
2015-04-30T18:09:25+05:30,1994330.875
2015-04-30T18:09:55+05:30,1994333.75
2015-04-30T18:10:25+05:30,1994336.75
2015-04-30T18:10:55+05:30,1994339.625
2015-04-30T18:11:25+05:30,1994342.5
2015-04-30T18:11:56+05:30,1994345.25
2015-04-30T18:12:26+05:30,1994348.125
2015-04-30T18:12:56+05:30,1994351.0
2015-04-30T18:13:26+05:30,1994353.875
2015-04-30T18:13:56+05:30,1994356.75
2015-04-30T18:14:26+05:30,1994359.625
2015-04-30T18:14:56+05:30,1994362.5
2015-04-30T18:15:26+05:30,1994365.25
2015-04-30T18:15:56+05:30,1994368.125
2015-04-30T18:16:26+05:30,1994371.0
2015-04-30T18:16:56+05:30,1994373.875
2015-04-30T18:17:27+05:30,1994376.75
2015-04-30T18:17:57+05:30,1994379.625
2015-04-30T18:18:27+05:30,1994382.75
2015-04-30T18:18:57+05:30,1994385.875
2015-04-30T18:19:27+05:30,1994389.0
2015-04-30T18:19:57+05:30,1994392.125
2015-04-30T18:20:27+05:30,1994395.25
2015-04-30T18:20:57+05:30,1994398.375
2015-04-30T18:21:27+05:30,1994401.5
2015-04-30T18:21:57+05:30,1994404.625
2015-04-30T18:22:27+05:30,1994407.75
2015-04-30T18:22:57+05:30,1994410.875
2015-04-30T18:23:27+05:30,1994414.0
2015-04-30T18:23:57+05:30,1994417.125
2015-04-30T18:24:27+05:30,1994420.25
