# uuid: c01563d5-e52e-5fcb-bd01-4fbe247ee2d4
# DownloadTime: Sun May  3 19:54:24 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 168
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 168
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter168/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714312000, 2893352.25]]
# uuid: c01563d5-e52e-5fcb-bd01-4fbe247ee2d4
2015-04-30T18:00:27+05:30,3229240.0
2015-04-30T18:00:57+05:30,3229246.5
2015-04-30T18:01:27+05:30,3229253.25
2015-04-30T18:01:57+05:30,3229259.75
2015-04-30T18:02:27+05:30,3229266.5
2015-04-30T18:02:57+05:30,3229273.0
2015-04-30T18:03:27+05:30,3229279.75
2015-04-30T18:03:57+05:30,3229286.25
2015-04-30T18:04:27+05:30,3229293.0
2015-04-30T18:04:57+05:30,3229299.5
2015-04-30T18:05:27+05:30,3229306.25
2015-04-30T18:05:57+05:30,3229312.75
2015-04-30T18:06:27+05:30,3229319.25
2015-04-30T18:06:57+05:30,3229326.0
2015-04-30T18:07:27+05:30,3229332.75
2015-04-30T18:07:57+05:30,3229339.25
2015-04-30T18:08:27+05:30,3229345.75
2015-04-30T18:08:57+05:30,3229352.5
2015-04-30T18:09:27+05:30,3229358.25
2015-04-30T18:09:57+05:30,3229364.25
2015-04-30T18:10:27+05:30,3229370.5
2015-04-30T18:10:57+05:30,3229376.5
2015-04-30T18:11:27+05:30,3229382.0
2015-04-30T18:11:58+05:30,3229387.5
2015-04-30T18:12:28+05:30,3229393.0
2015-04-30T18:12:58+05:30,3229398.5
2015-04-30T18:13:28+05:30,3229404.0
2015-04-30T18:13:58+05:30,3229409.5
2015-04-30T18:14:28+05:30,3229415.25
2015-04-30T18:14:58+05:30,3229420.75
2015-04-30T18:15:28+05:30,3229426.25
2015-04-30T18:15:58+05:30,3229431.75
2015-04-30T18:16:28+05:30,3229437.25
2015-04-30T18:16:58+05:30,3229442.75
2015-04-30T18:17:29+05:30,3229448.5
2015-04-30T18:17:59+05:30,3229454.0
2015-04-30T18:18:29+05:30,3229459.5
2015-04-30T18:18:59+05:30,3229465.0
2015-04-30T18:19:29+05:30,3229470.5
2015-04-30T18:19:59+05:30,3229476.0
2015-04-30T18:20:29+05:30,3229481.5
2015-04-30T18:20:59+05:30,3229487.0
2015-04-30T18:21:29+05:30,3229492.5
2015-04-30T18:21:59+05:30,3229498.0
2015-04-30T18:22:29+05:30,3229503.75
2015-04-30T18:22:59+05:30,3229509.25
2015-04-30T18:23:29+05:30,3229514.75
2015-04-30T18:23:59+05:30,3229520.25
2015-04-30T18:24:29+05:30,3229525.75
2015-04-30T18:24:59+05:30,3229531.25
