# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
# DownloadTime: Sun May  3 19:54:10 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 170
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Fourth Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 170
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Fourth Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 4
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 4
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter170/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714314000, 2306992.0]]
# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
2015-05-01T06:00:14+05:30,2316974.75
2015-05-01T06:00:44+05:30,2316980.0
2015-05-01T06:01:14+05:30,2316985.0
2015-05-01T06:01:44+05:30,2316990.0
2015-05-01T06:02:14+05:30,2316995.25
2015-05-01T06:02:44+05:30,2317000.25
2015-05-01T06:03:14+05:30,2317005.5
2015-05-01T06:03:44+05:30,2317010.5
2015-05-01T06:04:14+05:30,2317015.5
2015-05-01T06:04:44+05:30,2317020.75
2015-05-01T06:05:14+05:30,2317025.75
2015-05-01T06:05:44+05:30,2317030.75
2015-05-01T06:06:14+05:30,2317036.0
2015-05-01T06:06:44+05:30,2317041.0
2015-05-01T06:07:14+05:30,2317046.0
2015-05-01T06:07:45+05:30,2317051.25
2015-05-01T06:08:15+05:30,2317056.5
2015-05-01T06:08:45+05:30,2317061.5
2015-05-01T06:09:15+05:30,2317066.5
2015-05-01T06:09:45+05:30,2317071.5
2015-05-01T06:10:15+05:30,2317076.75
2015-05-01T06:10:45+05:30,2317081.75
2015-05-01T06:11:15+05:30,2317086.75
2015-05-01T06:11:45+05:30,2317091.75
2015-05-01T06:12:15+05:30,2317097.0
2015-05-01T06:12:46+05:30,2317102.0
2015-05-01T06:13:16+05:30,2317107.0
2015-05-01T06:13:46+05:30,2317112.0
2015-05-01T06:14:16+05:30,2317117.25
2015-05-01T06:14:46+05:30,2317122.25
2015-05-01T06:15:16+05:30,2317127.25
2015-05-01T06:15:46+05:30,2317132.25
2015-05-01T06:16:16+05:30,2317137.25
2015-05-01T06:16:46+05:30,2317142.25
2015-05-01T06:17:16+05:30,2317147.25
2015-05-01T06:17:46+05:30,2317152.25
2015-05-01T06:18:16+05:30,2317157.25
2015-05-01T06:18:46+05:30,2317162.5
2015-05-01T06:19:16+05:30,2317167.5
2015-05-01T06:19:46+05:30,2317172.5
2015-05-01T06:20:16+05:30,2317177.5
2015-05-01T06:20:46+05:30,2317182.5
2015-05-01T06:21:16+05:30,2317187.5
2015-05-01T06:21:46+05:30,2317192.5
2015-05-01T06:22:16+05:30,2317197.75
2015-05-01T06:22:46+05:30,2317202.75
2015-05-01T06:23:16+05:30,2317207.75
2015-05-01T06:23:46+05:30,2317212.75
2015-05-01T06:24:16+05:30,2317218.0
