# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
# DownloadTime: Sun May  3 19:54:25 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: A
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi01
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.12
# Metadata/Extra/LoadType: Wing AB
# Metadata/Extra/MAC: b8:27:eb:f2:20:bc
# Metadata/Extra/MeterID: 170
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Fourth Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: AB
# Metadata/Instrument/LoadType: Wing AB
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 170
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Fourth Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 4
# Metadata/LoadLocation/Wing: AB
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 4
# Metadata/Location/Wing: AB
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi01/Meter170/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714314000, 2306992.0]]
# uuid: 945e47fa-2e48-5b07-8771-6c84751a269c
2015-04-30T18:00:29+05:30,2307908.25
2015-04-30T18:00:59+05:30,2307913.5
2015-04-30T18:01:29+05:30,2307919.0
2015-04-30T18:01:59+05:30,2307924.5
2015-04-30T18:02:29+05:30,2307930.0
2015-04-30T18:02:59+05:30,2307935.5
2015-04-30T18:03:29+05:30,2307941.0
2015-04-30T18:03:59+05:30,2307946.5
2015-04-30T18:04:29+05:30,2307952.0
2015-04-30T18:04:59+05:30,2307957.5
2015-04-30T18:05:29+05:30,2307963.0
2015-04-30T18:05:59+05:30,2307968.5
2015-04-30T18:06:29+05:30,2307974.0
2015-04-30T18:06:59+05:30,2307979.5
2015-04-30T18:07:29+05:30,2307984.75
2015-04-30T18:07:59+05:30,2307990.25
2015-04-30T18:08:29+05:30,2307995.75
2015-04-30T18:08:59+05:30,2308001.25
2015-04-30T18:09:29+05:30,2308006.5
2015-04-30T18:09:59+05:30,2308012.0
2015-04-30T18:10:29+05:30,2308017.5
2015-04-30T18:10:59+05:30,2308022.75
2015-04-30T18:11:29+05:30,2308028.25
2015-04-30T18:12:00+05:30,2308033.75
2015-04-30T18:12:30+05:30,2308039.25
2015-04-30T18:13:00+05:30,2308044.5
2015-04-30T18:13:30+05:30,2308050.0
2015-04-30T18:14:00+05:30,2308055.25
2015-04-30T18:14:30+05:30,2308060.25
2015-04-30T18:15:00+05:30,2308065.25
2015-04-30T18:15:30+05:30,2308070.0
2015-04-30T18:16:00+05:30,2308075.0
2015-04-30T18:16:30+05:30,2308080.0
2015-04-30T18:17:01+05:30,2308084.75
2015-04-30T18:17:31+05:30,2308089.75
2015-04-30T18:18:01+05:30,2308094.5
2015-04-30T18:18:31+05:30,2308099.5
2015-04-30T18:19:01+05:30,2308104.25
2015-04-30T18:19:31+05:30,2308109.0
2015-04-30T18:20:01+05:30,2308113.75
2015-04-30T18:20:31+05:30,2308118.75
2015-04-30T18:21:01+05:30,2308123.5
2015-04-30T18:21:31+05:30,2308128.25
2015-04-30T18:22:01+05:30,2308133.25
2015-04-30T18:22:31+05:30,2308138.0
2015-04-30T18:23:01+05:30,2308142.75
2015-04-30T18:23:31+05:30,2308147.75
2015-04-30T18:24:01+05:30,2308152.5
2015-04-30T18:24:31+05:30,2308157.25
