# uuid: 5303e59f-33eb-57ea-a025-f85afce3316c
# DownloadTime: Sun May  3 19:54:25 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 172
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Ground Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 172
# Metadata/Instrument/Model: EM6500
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Ground Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 0
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 0
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter172/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714321000, 7470452.5]]
# uuid: 5303e59f-33eb-57ea-a025-f85afce3316c
2015-04-30T18:00:27+05:30,5358258.5
2015-04-30T18:00:57+05:30,5358262.0
2015-04-30T18:01:27+05:30,5358265.0
2015-04-30T18:01:57+05:30,5358268.5
2015-04-30T18:02:27+05:30,5358271.5
2015-04-30T18:02:57+05:30,5358275.0
2015-04-30T18:03:28+05:30,5358278.0
2015-04-30T18:03:58+05:30,5358281.5
2015-04-30T18:04:28+05:30,5358284.5
2015-04-30T18:04:58+05:30,5358288.0
2015-04-30T18:05:28+05:30,5358291.5
2015-04-30T18:05:58+05:30,5358294.5
2015-04-30T18:06:28+05:30,5358298.0
2015-04-30T18:06:58+05:30,5358301.0
2015-04-30T18:07:28+05:30,5358304.0
2015-04-30T18:07:58+05:30,5358307.5
2015-04-30T18:08:28+05:30,5358310.5
2015-04-30T18:08:58+05:30,5358314.0
2015-04-30T18:09:28+05:30,5358317.0
2015-04-30T18:09:58+05:30,5358320.5
2015-04-30T18:10:29+05:30,5358323.5
2015-04-30T18:10:59+05:30,5358326.5
2015-04-30T18:11:29+05:30,5358330.0
2015-04-30T18:11:59+05:30,5358333.0
2015-04-30T18:12:29+05:30,5358336.5
2015-04-30T18:12:59+05:30,5358339.5
2015-04-30T18:13:29+05:30,5358343.0
2015-04-30T18:13:59+05:30,5358346.0
2015-04-30T18:14:29+05:30,5358349.5
2015-04-30T18:14:59+05:30,5358352.5
2015-04-30T18:15:29+05:30,5358355.5
2015-04-30T18:15:59+05:30,5358359.0
2015-04-30T18:16:29+05:30,5358362.0
2015-04-30T18:16:59+05:30,5358365.5
2015-04-30T18:17:29+05:30,5358369.0
2015-04-30T18:17:59+05:30,5358372.0
2015-04-30T18:18:29+05:30,5358375.0
2015-04-30T18:18:59+05:30,5358378.5
2015-04-30T18:19:29+05:30,5358381.5
2015-04-30T18:19:59+05:30,5358385.0
2015-04-30T18:20:29+05:30,5358388.0
2015-04-30T18:21:00+05:30,5358391.0
2015-04-30T18:21:30+05:30,5358394.5
2015-04-30T18:22:00+05:30,5358397.5
2015-04-30T18:22:30+05:30,5358401.0
2015-04-30T18:23:00+05:30,5358404.0
2015-04-30T18:23:30+05:30,5358407.5
2015-04-30T18:24:00+05:30,5358410.5
2015-04-30T18:24:30+05:30,5358413.5
