# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
# DownloadTime: Sun May  3 19:54:11 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 174
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 174
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter174/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714315000, 3772775.5]]
# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
2015-05-01T06:00:01+05:30,4695085.5
2015-05-01T06:00:31+05:30,4695105.5
2015-05-01T06:01:01+05:30,4695125.5
2015-05-01T06:01:31+05:30,4695145.5
2015-05-01T06:02:01+05:30,4695165.5
2015-05-01T06:02:31+05:30,4695185.5
2015-05-01T06:03:02+05:30,4695205.5
2015-05-01T06:03:32+05:30,4695225.5
2015-05-01T06:04:02+05:30,4695245.0
2015-05-01T06:04:32+05:30,4695265.0
2015-05-01T06:05:02+05:30,4695285.0
2015-05-01T06:05:32+05:30,4695305.0
2015-05-01T06:06:02+05:30,4695325.0
2015-05-01T06:06:32+05:30,4695344.5
2015-05-01T06:07:02+05:30,4695365.0
2015-05-01T06:07:32+05:30,4695372.0
2015-05-01T06:08:02+05:30,4695379.0
2015-05-01T06:08:32+05:30,4695386.0
2015-05-01T06:09:02+05:30,4695393.0
2015-05-01T06:09:32+05:30,4695400.0
2015-05-01T06:10:02+05:30,4695407.0
2015-05-01T06:10:32+05:30,4695413.5
2015-05-01T06:11:02+05:30,4695420.5
2015-05-01T06:11:32+05:30,4695427.5
2015-05-01T06:12:02+05:30,4695434.5
2015-05-01T06:12:32+05:30,4695441.5
2015-05-01T06:13:02+05:30,4695448.0
2015-05-01T06:13:33+05:30,4695455.0
2015-05-01T06:14:03+05:30,4695462.0
2015-05-01T06:14:33+05:30,4695469.0
2015-05-01T06:15:03+05:30,4695476.0
2015-05-01T06:15:33+05:30,4695483.0
2015-05-01T06:16:03+05:30,4695489.5
2015-05-01T06:16:33+05:30,4695496.5
2015-05-01T06:17:03+05:30,4695503.0
2015-05-01T06:17:33+05:30,4695510.0
2015-05-01T06:18:03+05:30,4695517.0
2015-05-01T06:18:33+05:30,4695524.0
2015-05-01T06:19:03+05:30,4695530.5
2015-05-01T06:19:33+05:30,4695537.5
2015-05-01T06:20:04+05:30,4695544.5
2015-05-01T06:20:34+05:30,4695551.5
2015-05-01T06:21:04+05:30,4695558.0
2015-05-01T06:21:34+05:30,4695565.0
2015-05-01T06:22:04+05:30,4695572.0
2015-05-01T06:22:34+05:30,4695579.5
2015-05-01T06:23:04+05:30,4695587.0
2015-05-01T06:23:34+05:30,4695595.5
2015-05-01T06:24:04+05:30,4695603.0
