# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
# DownloadTime: Sun May  3 19:54:31 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 174
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: First Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 174
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: First Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 1
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 1
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter174/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714315000, 3772775.5]]
# uuid: 82af7ba3-db7d-518a-97b6-eae47508d2d5
2015-04-30T18:00:29+05:30,4680150.0
2015-04-30T18:00:59+05:30,4680155.5
2015-04-30T18:01:29+05:30,4680160.5
2015-04-30T18:01:59+05:30,4680166.0
2015-04-30T18:02:29+05:30,4680171.0
2015-04-30T18:02:59+05:30,4680176.5
2015-04-30T18:03:30+05:30,4680182.0
2015-04-30T18:04:00+05:30,4680187.0
2015-04-30T18:04:30+05:30,4680192.5
2015-04-30T18:05:00+05:30,4680198.5
2015-04-30T18:05:30+05:30,4680204.0
2015-04-30T18:06:00+05:30,4680209.5
2015-04-30T18:06:30+05:30,4680215.0
2015-04-30T18:07:00+05:30,4680219.5
2015-04-30T18:07:30+05:30,4680224.5
2015-04-30T18:08:00+05:30,4680229.0
2015-04-30T18:08:30+05:30,4680234.0
2015-04-30T18:09:00+05:30,4680238.5
2015-04-30T18:09:30+05:30,4680243.5
2015-04-30T18:10:00+05:30,4680248.0
2015-04-30T18:10:31+05:30,4680252.5
2015-04-30T18:11:01+05:30,4680257.5
2015-04-30T18:11:31+05:30,4680262.0
2015-04-30T18:12:01+05:30,4680267.0
2015-04-30T18:12:31+05:30,4680272.0
2015-04-30T18:13:01+05:30,4680276.5
2015-04-30T18:13:31+05:30,4680281.5
2015-04-30T18:14:01+05:30,4680286.0
2015-04-30T18:14:31+05:30,4680290.5
2015-04-30T18:15:01+05:30,4680295.0
2015-04-30T18:15:31+05:30,4680300.0
2015-04-30T18:16:01+05:30,4680304.5
2015-04-30T18:16:31+05:30,4680309.0
2015-04-30T18:17:01+05:30,4680313.5
2015-04-30T18:17:31+05:30,4680318.0
2015-04-30T18:18:01+05:30,4680322.5
2015-04-30T18:18:31+05:30,4680328.0
2015-04-30T18:19:01+05:30,4680333.0
2015-04-30T18:19:31+05:30,4680338.0
2015-04-30T18:20:01+05:30,4680343.0
2015-04-30T18:20:31+05:30,4680349.0
2015-04-30T18:21:02+05:30,4680355.0
2015-04-30T18:21:32+05:30,4680361.0
2015-04-30T18:22:02+05:30,4680367.0
2015-04-30T18:22:32+05:30,4680373.0
2015-04-30T18:23:02+05:30,4680379.0
2015-04-30T18:23:32+05:30,4680385.0
2015-04-30T18:24:02+05:30,4680391.0
2015-04-30T18:24:32+05:30,4680397.0
