# uuid: 376413c8-0dd0-5191-a291-091636b45a01
# DownloadTime: Sun May  3 19:54:11 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 176
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 176
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter176/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714317000, 4429657.0]]
# uuid: 376413c8-0dd0-5191-a291-091636b45a01
2015-05-01T06:00:03+05:30,5098203.5
2015-05-01T06:00:33+05:30,5098215.0
2015-05-01T06:01:03+05:30,5098226.0
2015-05-01T06:01:33+05:30,5098237.5
2015-05-01T06:02:03+05:30,5098249.0
2015-05-01T06:02:33+05:30,5098260.0
2015-05-01T06:03:04+05:30,5098271.5
2015-05-01T06:03:34+05:30,5098283.0
2015-05-01T06:04:04+05:30,5098294.5
2015-05-01T06:04:34+05:30,5098305.5
2015-05-01T06:05:04+05:30,5098317.0
2015-05-01T06:05:34+05:30,5098328.0
2015-05-01T06:06:04+05:30,5098339.5
2015-05-01T06:06:34+05:30,5098350.5
2015-05-01T06:07:04+05:30,5098362.0
2015-05-01T06:07:34+05:30,5098373.0
2015-05-01T06:08:04+05:30,5098384.5
2015-05-01T06:08:34+05:30,5098395.5
2015-05-01T06:09:04+05:30,5098407.0
2015-05-01T06:09:34+05:30,5098418.0
2015-05-01T06:10:04+05:30,5098429.0
2015-05-01T06:10:34+05:30,5098440.5
2015-05-01T06:11:04+05:30,5098451.5
2015-05-01T06:11:34+05:30,5098463.0
2015-05-01T06:12:04+05:30,5098474.0
2015-05-01T06:12:34+05:30,5098485.0
2015-05-01T06:13:04+05:30,5098496.5
2015-05-01T06:13:35+05:30,5098508.0
2015-05-01T06:14:05+05:30,5098519.0
2015-05-01T06:14:35+05:30,5098530.5
2015-05-01T06:15:05+05:30,5098541.5
2015-05-01T06:15:35+05:30,5098552.5
2015-05-01T06:16:05+05:30,5098564.0
2015-05-01T06:16:35+05:30,5098575.0
2015-05-01T06:17:05+05:30,5098586.5
2015-05-01T06:17:35+05:30,5098597.5
2015-05-01T06:18:05+05:30,5098609.0
2015-05-01T06:18:35+05:30,5098620.0
2015-05-01T06:19:05+05:30,5098631.0
2015-05-01T06:19:35+05:30,5098642.5
2015-05-01T06:20:06+05:30,5098653.5
2015-05-01T06:20:36+05:30,5098665.0
2015-05-01T06:21:06+05:30,5098676.0
2015-05-01T06:21:36+05:30,5098687.0
2015-05-01T06:22:06+05:30,5098698.0
2015-05-01T06:22:36+05:30,5098709.5
2015-05-01T06:23:06+05:30,5098720.5
2015-05-01T06:23:36+05:30,5098730.0
2015-05-01T06:24:06+05:30,5098739.0
2015-05-01T06:24:36+05:30,5098748.0
2015-05-01T06:25:06+05:30,5098757.5
2015-05-01T06:25:36+05:30,5098766.5
2015-05-01T06:26:06+05:30,5098776.0
2015-05-01T06:26:37+05:30,5098785.0
2015-05-01T06:27:07+05:30,5098794.5
2015-05-01T06:27:37+05:30,5098803.5
2015-05-01T06:28:07+05:30,5098812.5
2015-05-01T06:28:37+05:30,5098821.5
2015-05-01T06:29:07+05:30,5098830.5
2015-05-01T06:29:37+05:30,5098839.5
2015-05-01T06:30:07+05:30,5098849.0
2015-05-01T06:30:37+05:30,5098858.0
2015-05-01T06:31:07+05:30,5098867.0
2015-05-01T06:31:37+05:30,5098876.0
2015-05-01T06:32:07+05:30,5098885.0
2015-05-01T06:32:37+05:30,5098894.5
2015-05-01T06:33:07+05:30,5098904.0
2015-05-01T06:33:37+05:30,5098913.5
2015-05-01T06:34:07+05:30,5098922.5
2015-05-01T06:34:37+05:30,5098931.5
2015-05-01T06:35:07+05:30,5098940.5
2015-05-01T06:35:37+05:30,5098949.5
2015-05-01T06:36:07+05:30,5098959.0
2015-05-01T06:36:37+05:30,5098968.0
2015-05-01T06:37:07+05:30,5098977.0
2015-05-01T06:37:37+05:30,5098985.5
2015-05-01T06:38:08+05:30,5098994.5
2015-05-01T06:38:38+05:30,5099003.5
2015-05-01T06:39:08+05:30,5099012.5
2015-05-01T06:39:38+05:30,5099021.5
2015-05-01T06:40:08+05:30,5099030.0
2015-05-01T06:40:38+05:30,5099039.0
2015-05-01T06:41:08+05:30,5099048.0
2015-05-01T06:41:38+05:30,5099057.0
2015-05-01T06:42:08+05:30,5099065.5
2015-05-01T06:42:38+05:30,5099074.5
2015-05-01T06:43:08+05:30,5099083.5
2015-05-01T06:43:38+05:30,5099092.5
