# uuid: 376413c8-0dd0-5191-a291-091636b45a01
# DownloadTime: Sun May  3 19:54:31 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 176
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Second Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 176
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Second Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 2
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 2
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter176/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714317000, 4429657.0]]
# uuid: 376413c8-0dd0-5191-a291-091636b45a01
2015-04-30T18:00:01+05:30,5079565.5
2015-04-30T18:00:31+05:30,5079575.5
2015-04-30T18:01:01+05:30,5079585.0
2015-04-30T18:01:31+05:30,5079595.0
2015-04-30T18:02:01+05:30,5079604.5
2015-04-30T18:02:31+05:30,5079614.5
2015-04-30T18:03:01+05:30,5079624.0
2015-04-30T18:03:32+05:30,5079634.0
2015-04-30T18:04:02+05:30,5079644.0
2015-04-30T18:04:32+05:30,5079653.5
2015-04-30T18:05:02+05:30,5079663.5
2015-04-30T18:05:32+05:30,5079673.0
2015-04-30T18:06:02+05:30,5079682.5
2015-04-30T18:06:32+05:30,5079692.0
2015-04-30T18:07:02+05:30,5079701.5
2015-04-30T18:07:32+05:30,5079711.0
2015-04-30T18:08:02+05:30,5079720.0
2015-04-30T18:08:32+05:30,5079729.5
2015-04-30T18:09:02+05:30,5079739.5
2015-04-30T18:09:32+05:30,5079749.0
2015-04-30T18:10:02+05:30,5079758.5
2015-04-30T18:10:33+05:30,5079769.0
2015-04-30T18:11:03+05:30,5079778.5
2015-04-30T18:11:33+05:30,5079788.5
2015-04-30T18:12:03+05:30,5079798.5
2015-04-30T18:12:33+05:30,5079808.0
2015-04-30T18:13:03+05:30,5079818.0
2015-04-30T18:13:33+05:30,5079827.5
2015-04-30T18:14:03+05:30,5079837.0
2015-04-30T18:14:33+05:30,5079847.0
2015-04-30T18:15:03+05:30,5079857.0
2015-04-30T18:15:33+05:30,5079866.5
2015-04-30T18:16:03+05:30,5079876.5
2015-04-30T18:16:33+05:30,5079886.5
2015-04-30T18:17:03+05:30,5079896.0
2015-04-30T18:17:33+05:30,5079906.0
2015-04-30T18:18:03+05:30,5079916.0
2015-04-30T18:18:33+05:30,5079925.5
2015-04-30T18:19:03+05:30,5079935.5
2015-04-30T18:19:33+05:30,5079945.5
2015-04-30T18:20:03+05:30,5079955.5
2015-04-30T18:20:33+05:30,5079965.5
2015-04-30T18:21:04+05:30,5079976.0
2015-04-30T18:21:34+05:30,5079986.0
2015-04-30T18:22:04+05:30,5079996.5
2015-04-30T18:22:34+05:30,5080006.5
2015-04-30T18:23:04+05:30,5080017.0
2015-04-30T18:23:34+05:30,5080027.5
2015-04-30T18:24:04+05:30,5080037.5
2015-04-30T18:24:34+05:30,5080048.0
2015-04-30T18:25:04+05:30,5080058.5
2015-04-30T18:25:34+05:30,5080069.0
2015-04-30T18:26:04+05:30,5080079.5
2015-04-30T18:26:34+05:30,5080090.0
2015-04-30T18:27:04+05:30,5080101.0
2015-04-30T18:27:34+05:30,5080111.5
2015-04-30T18:28:04+05:30,5080122.0
2015-04-30T18:28:34+05:30,5080132.5
2015-04-30T18:29:04+05:30,5080143.5
2015-04-30T18:29:34+05:30,5080154.0
2015-04-30T18:30:04+05:30,5080164.5
2015-04-30T18:30:34+05:30,5080175.5
2015-04-30T18:31:05+05:30,5080186.0
2015-04-30T18:31:35+05:30,5080196.0
2015-04-30T18:32:05+05:30,5080206.0
2015-04-30T18:32:35+05:30,5080215.5
2015-04-30T18:33:05+05:30,5080225.5
2015-04-30T18:33:35+05:30,5080235.5
2015-04-30T18:34:05+05:30,5080245.0
2015-04-30T18:34:35+05:30,5080255.5
2015-04-30T18:35:05+05:30,5080266.0
2015-04-30T18:35:35+05:30,5080276.0
2015-04-30T18:36:05+05:30,5080286.5
2015-04-30T18:36:35+05:30,5080296.5
2015-04-30T18:37:05+05:30,5080307.0
2015-04-30T18:37:36+05:30,5080317.5
2015-04-30T18:38:06+05:30,5080328.0
2015-04-30T18:38:36+05:30,5080338.0
2015-04-30T18:39:06+05:30,5080348.5
2015-04-30T18:39:36+05:30,5080358.5
2015-04-30T18:40:06+05:30,5080369.0
2015-04-30T18:40:36+05:30,5080379.0
2015-04-30T18:41:06+05:30,5080389.5
2015-04-30T18:41:36+05:30,5080399.5
