# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
# DownloadTime: Sun May  3 19:54:12 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 178
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 178
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter178/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714319000, 2557707.0]]
# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
2015-05-01T06:00:05+05:30,3146459.0
2015-05-01T06:00:35+05:30,3146466.75
2015-05-01T06:01:05+05:30,3146474.25
2015-05-01T06:01:35+05:30,3146482.0
2015-05-01T06:02:05+05:30,3146489.5
2015-05-01T06:02:35+05:30,3146497.0
2015-05-01T06:03:06+05:30,3146504.75
2015-05-01T06:03:36+05:30,3146512.25
2015-05-01T06:04:06+05:30,3146520.0
2015-05-01T06:04:36+05:30,3146527.5
2015-05-01T06:05:06+05:30,3146535.0
2015-05-01T06:05:36+05:30,3146542.5
2015-05-01T06:06:06+05:30,3146550.25
2015-05-01T06:06:36+05:30,3146557.75
2015-05-01T06:07:06+05:30,3146565.25
2015-05-01T06:07:36+05:30,3146572.75
2015-05-01T06:08:06+05:30,3146580.25
2015-05-01T06:08:36+05:30,3146587.75
2015-05-01T06:09:06+05:30,3146595.0
2015-05-01T06:09:36+05:30,3146602.5
2015-05-01T06:10:06+05:30,3146610.0
2015-05-01T06:10:36+05:30,3146617.5
2015-05-01T06:11:06+05:30,3146624.75
2015-05-01T06:11:36+05:30,3146632.5
2015-05-01T06:12:06+05:30,3146639.75
2015-05-01T06:12:36+05:30,3146647.25
2015-05-01T06:13:06+05:30,3146654.5
2015-05-01T06:13:37+05:30,3146662.0
2015-05-01T06:14:07+05:30,3146669.5
2015-05-01T06:14:37+05:30,3146677.0
2015-05-01T06:15:07+05:30,3146684.75
2015-05-01T06:15:37+05:30,3146692.25
2015-05-01T06:16:07+05:30,3146699.75
2015-05-01T06:16:37+05:30,3146707.25
2015-05-01T06:17:07+05:30,3146714.75
2015-05-01T06:17:37+05:30,3146722.5
2015-05-01T06:18:07+05:30,3146730.0
2015-05-01T06:18:37+05:30,3146737.5
2015-05-01T06:19:07+05:30,3146745.0
2015-05-01T06:19:37+05:30,3146752.5
2015-05-01T06:20:08+05:30,3146759.75
2015-05-01T06:20:38+05:30,3146767.25
2015-05-01T06:21:08+05:30,3146774.75
2015-05-01T06:21:38+05:30,3146782.25
2015-05-01T06:22:08+05:30,3146789.75
2015-05-01T06:22:38+05:30,3146797.0
2015-05-01T06:23:08+05:30,3146804.5
2015-05-01T06:23:38+05:30,3146812.0
2015-05-01T06:24:08+05:30,3146819.5
