# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
# DownloadTime: Sun May  3 19:54:31 2015
# Metadata/ControllerLocation/Building: Girls Hostel
# Metadata/ControllerLocation/Campus: IIIT Delhi
# Metadata/ControllerLocation/City: Delhi
# Metadata/ControllerLocation/Country: India
# Metadata/ControllerLocation/Floor: 0
# Metadata/ControllerLocation/Wing: C
# Metadata/Extra/Block: 0
# Metadata/Extra/CommInterface: Modbus
# Metadata/Extra/ControllerName: GH-RPi02
# Metadata/Extra/FlatNumber: 0
# Metadata/Extra/IP: 192.168.136.10
# Metadata/Extra/LoadType: Wing BC
# Metadata/Extra/MAC: b8:27:eb:c9:f9:92
# Metadata/Extra/MeterID: 178
# Metadata/Extra/MeterLevel: Metadata/Instrument/SupplyType
# Metadata/Extra/PhysicalParameter: Energy
# Metadata/Extra/SubLoadType: Third Floor
# Metadata/Extra/SupplyType: Power
# Metadata/Extra/Sync: 1
# Metadata/Extra/Type: Power
# Metadata/Extra/Wing: BC
# Metadata/Instrument/LoadType: Wing BC
# Metadata/Instrument/Manufacturer: Schneider Electric
# Metadata/Instrument/MeterID: 178
# Metadata/Instrument/Model: EM6436
# Metadata/Instrument/SamplingPeriod: 1 Second
# Metadata/Instrument/SubLoadType: Third Floor
# Metadata/Instrument/SupplyType: Power
# Metadata/LoadLocation/Building: Girls Hostel
# Metadata/LoadLocation/FlatNumber: 0
# Metadata/LoadLocation/Floor: 3
# Metadata/LoadLocation/Wing: BC
# Metadata/Location/Building: Girls Hostel
# Metadata/Location/Campus: IIIT Delhi
# Metadata/Location/City: Delhi
# Metadata/Location/Country: India
# Metadata/Location/FlatNumber: 0
# Metadata/Location/Floor: 3
# Metadata/Location/Wing: BC
# Metadata/SourceName: Girls Hostel
# Metadata/Supply/BillingType: Residential
# Metadata/Supply/BusCoupler: BusCoupler-1
# Metadata/Supply/Panel: Panel-3
# Metadata/Supply/Source: Utility
# Metadata/Supply/Transformer: Transformer-3
# Metadata/Supply/Voltage: Low
# Path: /GH-RPi02/Meter178/Energy
# Properties/ReadingType: double
# Properties/Timezone: Asia/Kolkata
# Properties/UnitofMeasure: Watt-Hours
# Readings: [[1391714319000, 2557707.0]]
# uuid: afb6540a-45e6-52ab-95c1-6f8e019dc85b
2015-04-30T18:00:03+05:30,3135606.0
2015-04-30T18:00:33+05:30,3135612.75
2015-04-30T18:01:03+05:30,3135619.25
2015-04-30T18:01:33+05:30,3135626.0
2015-04-30T18:02:03+05:30,3135632.75
2015-04-30T18:02:33+05:30,3135639.5
2015-04-30T18:03:03+05:30,3135646.25
2015-04-30T18:03:34+05:30,3135653.0
2015-04-30T18:04:04+05:30,3135659.75
2015-04-30T18:04:34+05:30,3135666.25
2015-04-30T18:05:04+05:30,3135673.0
2015-04-30T18:05:34+05:30,3135679.75
2015-04-30T18:06:04+05:30,3135686.5
2015-04-30T18:06:34+05:30,3135693.25
2015-04-30T18:07:04+05:30,3135700.0
2015-04-30T18:07:34+05:30,3135706.5
2015-04-30T18:08:04+05:30,3135713.5
2015-04-30T18:08:34+05:30,3135720.25
2015-04-30T18:09:04+05:30,3135726.75
2015-04-30T18:09:34+05:30,3135733.5
2015-04-30T18:10:04+05:30,3135740.25
2015-04-30T18:10:35+05:30,3135746.75
2015-04-30T18:11:05+05:30,3135753.25
2015-04-30T18:11:35+05:30,3135760.0
2015-04-30T18:12:05+05:30,3135766.5
2015-04-30T18:12:35+05:30,3135773.0
2015-04-30T18:13:05+05:30,3135779.75
2015-04-30T18:13:35+05:30,3135786.25
2015-04-30T18:14:05+05:30,3135792.75
2015-04-30T18:14:35+05:30,3135799.25
2015-04-30T18:15:05+05:30,3135805.75
2015-04-30T18:15:35+05:30,3135812.5
2015-04-30T18:16:05+05:30,3135819.25
2015-04-30T18:16:35+05:30,3135825.75
2015-04-30T18:17:05+05:30,3135832.25
2015-04-30T18:17:35+05:30,3135838.75
2015-04-30T18:18:05+05:30,3135845.25
2015-04-30T18:18:35+05:30,3135851.75
2015-04-30T18:19:05+05:30,3135858.25
2015-04-30T18:19:35+05:30,3135864.5
2015-04-30T18:20:05+05:30,3135870.5
2015-04-30T18:20:35+05:30,3135876.75
2015-04-30T18:21:06+05:30,3135883.0
2015-04-30T18:21:36+05:30,3135889.25
2015-04-30T18:22:06+05:30,3135895.5
2015-04-30T18:22:36+05:30,3135901.75
2015-04-30T18:23:06+05:30,3135908.0
2015-04-30T18:23:36+05:30,3135914.25
2015-04-30T18:24:06+05:30,3135920.5
